Genus,Subgenus,Species,Author ,Local_Label,Y_Latitude,X_Longitude,Refs,Observations
Afrius,Afrius,purpureus,"Westwood, 1837",ETHIOPIA: Oromiya: Banno,4.85,37.4,Hilgert 1908; Roell et al. 2019,
Afrius,Afrius,purpureus,"Westwood, 1837",ETHIOPIA: Ziway Hãyk ,8,38.83,Roell et al. 2019,
Afrius,Afrius,purpureus,"Westwood, 1837",GABON:Lambaréné ,-0.7,10.24,Schouteden 1905; Roell et al. 2019,
Afrius,Afrius,purpureus,"Westwood, 1837",GHANA: Ashanti: Tafo. 1966-XII-15. (U.V. Trap. Tafo Ghana 15.XII.66),6.73,-1.61,DARC,
Afrius,Afrius,purpureus,"Westwood, 1837",GHANA: Ashanti: Tafo ,6.74,-1.61,Roell et al. 2019,
Afrius,Afrius,purpureus,"Westwood, 1837",GHANA: Tafo,6.74,-1.61,Roell et al. 2019,
Afrius,Afrius,purpureus,"Westwood, 1837",GUINEA: Kindia ,10.4,18.86,Maldès & Pluot-Sigwalt 2004; Roell et al. 2019,
Afrius,Afrius,purpureus,"Westwood, 1837",GUINEA-BISSAU: Bolama ,11.46,-15.94,Schouteden 1913; Roell et al. 2019,
Afrius,Afrius,purpureus,"Westwood, 1837",IVORY COAST: Adiopodoumé ,5.43,-4.13,"Gillon 1972; Linnavuori 1982, 1989; Roell et al. 2019",
Afrius,Afrius,purpureus,"Westwood, 1837",IVORY COAST: Bingerville ,5.35,-3.88,Schouteden 1964; Gillon 1972; Roell et al. 2019,
Afrius,Afrius,purpureus,"Westwood, 1837",IVORY COAST: Bouaflé ,6.99,-5.74,Gillon 1972; Roell et al. 2019,
Afrius,Afrius,purpureus,"Westwood, 1837",IVORY COAST: Bouaké ,7.69,-5.03,Villiers 1949; Gillon 1972; Roell et al. 2019,
Afrius,Afrius,purpureus,"Westwood, 1837",IVORY COAST: Foro-Foro ,7.94,-5,Linnavuori 1982; Roell et al. 2019,
Afrius,Afrius,purpureus,"Westwood, 1837",IVORY COAST: Grand-Bassam ,5.22,-3.75,Schouteden 1905; Maldès & Pluot-Sigwalt 2004; Roell et al. 2019,
Afrius,Afrius,purpureus,"Westwood, 1837",IVORY COAST: Lamto ,6.22,-5.03,Schouteden 1963; Maldès & Pluot-Sigwalt 2004; Roell et al. 2019,
Afrius,Afrius,purpureus,"Westwood, 1837",KENYA: Kibwezi ,-2.41,37.96,Roell et al. 2019,
Afrius,Afrius,purpureus,"Westwood, 1837",KENYA: Loitokitok ,-2.92,37.51,Schouteden 1910; Roell et al. 2019,
Afrius,Afrius,purpureus,"Westwood, 1837",KENYA: Mombasa ,-4.0245,39.6238,Maldès & Pluot-Sigwalt 2004; Roell et al. 2019,
Afrius,Afrius,purpureus,"Westwood, 1837",KENYA: Mumias. 4500 ft ,0.33,34.4,Roell et al. 2019,
Afrius,Afrius,purpureus,"Westwood, 1837",KENYA: Nairobi ,-1.3,36.84,Roell et al. 2019,
Afrius,Afrius,purpureus,"Westwood, 1837",KENYA: Nakuru: Ilala: Maramas Dist.: 14 m E of Mumias ,-0.31,36.11,Roell et al. 2019,
