Genus	Species	Local_Label	decimalLongitude	decimalLatitude	Refs
Apoecilus	Apoecilus bracteatus	USA: Michigan, Plainwell	-85.64000	42.44000	Phillips 1983
Apoecilus	Apoecilus bracteatus	USA: Michigan, Berrien	-86.33000	41.94000	Phillips 1983
Apoecilus	Apoecilus bracteatus	USA: Michigan, Sawyer	-86.58000	41.88000	Phillips 1983
Apoecilus	Apoecilus bracteatus	USA: Michigan, Charlevoix	-85.24000	45.26000	Phillips 1983
Apoecilus	Apoecilus bracteatus	USA: Michigan, Susan Lake	-85.18000	45.32000	Phillips 1983
Apoecilus	Apoecilus bracteatus	USA: Michigan, Thumb Lake	-84.76000	45.19000	Phillips 1983
Apoecilus	Apoecilus bracteatus	USA: Michigan, Cheboygan	-84.49000	45.47000	Phillips 1983
Apoecilus	Apoecilus bracteatus	USA: Michigan, Trout Lake	-85.04000	46.18000	Phillips 1983
Apoecilus	Apoecilus bracteatus	USA: Michigan, Emmet	-84.98000	45.58000	Phillips 1983
Apoecilus	Apoecilus bracteatus	USA: Michigan, Houghton	-88.65000	46.99000	Phillips 1983
Apoecilus	Apoecilus bracteatus	USA: Michigan, Huron	-82.85000	43.19000	Phillips 1983
Apoecilus	Apoecilus bracteatus	USA: Michigan, Iosco	-83.51000	44.30000	Phillips 1983
Apoecilus	Apoecilus bracteatus	USA: Michigan, Livingston	-83.91000	42.60000	Phillips 1983
Apoecilus	Apoecilus bracteatus	USA: Michigan, Luce	-85.50000	46.36000	Phillips 1983
Apoecilus	Apoecilus bracteatus	USA: Michigan, Mackinac	-84.76000	45.87000	Phillips 1983
Apoecilus	Apoecilus bracteatus	USA: Michigan, Naubinway	-85.45250	46.09560	Phillips 1983
Apoecilus	Apoecilus bracteatus	USA: Michigan, St Ignace	-84.72000	45.86000	Phillips 1983
Apoecilus	Apoecilus bracteatus	USA: Michigan, Marquette	-87.57000	46.66000	Phillips 1983
Apoecilus	Apoecilus bracteatus	USA: Michigan, Midland	-84.24000	43.61000	Phillips 1983
Apoecilus	Apoecilus bracteatus	USA: Michigan, Oakland	-83.29000	42.63000	Phillips 1983
Apoecilus	Apoecilus bracteatus	USA: Michigan, Manchester	-84.03000	42.15000	Phillips 1983
Apoecilus	Apoecilus bracteatus	USA: Michigan, Wayne	-83.38000	42.28000	Phillips 1983
Apoecilus	Apoecilus bracteatus	USA: Minnesota, Clay	-96.49000	46.89000	Phillips 1983
Apoecilus	Apoecilus bracteatus	USA: Minnesota, Clearwater	-95.37000	47.57000	Phillips 1983
Apoecilus	Apoecilus bracteatus	USA: Minnesota, Freeborn	-93.34000	43.67000	Phillips 1983
Apoecilus	Apoecilus bracteatus	USA: Minnesota, St Louis	-92.46000	47.58000	Phillips 1983
Apoecilus	Apoecilus bracteatus	USA: Montana, Gallatin	-111.17000	45.54000	Phillips 1983
Apoecilus	Apoecilus bracteatus	USA: Nebraska, Red Willow	-100.47000	40.17000	Phillips 1983
Apoecilus	Apoecilus bracteatus	USA: Nevada, Douglas	-119.61000	38.19000	Phillips 1983
Apoecilus	Apoecilus bracteatus	USA: Nevada, Washoe	-119.66000	40.66000	Phillips 1983
Apoecilus	Apoecilus bracteatus	USA: New Hampshire, Grafton	-71.82000	43.94000	Phillips 1983
Apoecilus	Apoecilus bracteatus	USA: New Hampshire, Crawfords	-71.40000	44.26000	Phillips 1983
Apoecilus	Apoecilus bracteatus	USA: New Jersey, Bergen	-74.07000	40.72000	Phillips 1983
Apoecilus	Apoecilus bracteatus	USA: New Mexico, Sandoval	-106.86000	35.68000	Phillips 1983
Apoecilus	Apoecilus bracteatus	USA: New Mexico, Santa Fe	-105.93000	35.68000	Phillips 1983
Apoecilus	Apoecilus bracteatus	USA: New York, Erie	-78.87000	42.88000	Phillips 1983
Apoecilus	Apoecilus bracteatus	USA: New York, Colden	-78.68000	42.64000	Phillips 1983
Apoecilus	Apoecilus bracteatus	USA: New York, Hamburg	-78.82000	42.71000	Phillips 1983
Apoecilus	Apoecilus bracteatus	USA: New York, Lancaster	-78.67000	42.90000	Phillips 1983
Apoecilus	Apoecilus bracteatus	USA: New York, Essex	-73.77000	44.11000	Phillips 1983
Apoecilus	Apoecilus bracteatus	USA: New York, Greene	-74.12000	42.27000	Phillips 1983
Apoecilus	Apoecilus bracteatus	USA: New York, Kings	-73.94000	40.65000	Phillips 1983
Apoecilus	Apoecilus bracteatus	USA: New York, Onodaga	-76.19000	43.00000	Phillips 1983
Apoecilus	Apoecilus bracteatus	USA: New York, Queens	-73.83000	40.68000	Phillips 1983
Apoecilus	Apoecilus bracteatus	USA: New York, Suffolk	-73.06000	40.81000	Phillips 1983
Apoecilus	Apoecilus bracteatus	USA: New York Tompkins	-76.47000	42.45000	Phillips 1983
Apoecilus	Apoecilus bracteatus	USA: North Dakota, Bottineau	-100.83000	48.79000	Phillips 1983
Apoecilus	Apoecilus bracteatus	USA: North Dakota, Cass	-97.24000	46.93000	Phillips 1983
Apoecilus	Apoecilus bracteatus	USA: North Dakota, Divide	-103.48000	48.81000	Phillips 1983
Apoecilus	Apoecilus bracteatus	USA: North Dakota, Hettinger	-102.46000	46.43000	Phillips 1983
Apoecilus	Apoecilus bracteatus	USA: North Dakota, Stutsman	-98.95000	46.97000	Phillips 1983
Apoecilus	Apoecilus bracteatus	USA: Ohio, Lake	-81.22700	41.71630	Phillips 1983
Apoecilus	Apoecilus bracteatus	USA: Ohio, Lucas	-83.46000	41.68000	Phillips 1983
Apoecilus	Apoecilus bracteatus	USA: Ohio, Williams	-84.58000	41.56000	Phillips 1983
Apoecilus	Apoecilus bracteatus	USA: Oregon, Benton	-123.42000	44.49000	Phillips 1983
Apoecilus	Apoecilus bracteatus	USA: Oregon, MacDonald	-120.44000	44.85000	Phillips 1983
Apoecilus	Apoecilus bracteatus	USA: Oregon, Clackamas	-122.22000	45.18000	Phillips 1983
Apoecilus	Apoecilus bracteatus	USA: Oregon, Seaside	-123.91000	45.99000	Phillips 1983
Apoecilus	Apoecilus bracteatus	USA: Oregon, Deschutes	-121.22000	43.91000	Phillips 1983
Apoecilus	Apoecilus bracteatus	USA: Oregon, Harney	-118.96000	43.06000	Phillips 1983
Apoecilus	Apoecilus bracteatus	USA: Oregon, Jackson	-122.72000	42.43000	Phillips 1983
Apoecilus	Apoecilus bracteatus	USA: Oregon, Medford	-122.87000	42.32000	Phillips 1983
Apoecilus	Apoecilus bracteatus	USA: Oregon, Siskiyou	-122.60000	42.05000	Phillips 1983
Apoecilus	Apoecilus bracteatus	USA: Oregon, Josephine	-123.55000	42.36000	Phillips 1983
Apoecilus	Apoecilus bracteatus	USA: Oregon, Klamath	-121.65000	42.68000	Phillips 1983
Apoecilus	Apoecilus bracteatus	USA: Oregon, Lane	-122.87000	43.94000	Phillips 1983
Apoecilus	Apoecilus bracteatus	USA: Oregon, Marion	-122.58000	44.90000	Phillips 1983
Apoecilus	Apoecilus bracteatus	USA: Oregon, Union	-118.00000	45.31000	Phillips 1983
Apoecilus	Apoecilus bracteatus	USA: Oregon, Wasco	-121.16000	45.16000	Phillips 1983
Apoecilus	Apoecilus bracteatus	USA: Pennsylvania, Crawford	-80.10000	41.68000	Phillips 1983
Apoecilus	Apoecilus bracteatus	USA: Pennsylvania, Erie	-80.08000	42.12000	Phillips 1983
Apoecilus	Apoecilus bracteatus	USA: South Dakota, Brookings	-96.79000	44.36000	Phillips 1983
Apoecilus	Apoecilus bracteatus	USA: Utah, Cache	-111.74000	41.72000	Phillips 1983
Apoecilus	Apoecilus bracteatus	USA: Utah, Davis	-111.97000	41.06000	Phillips 1983
Apoecilus	Apoecilus bracteatus	USA: Utah, Juab	-112.78000	39.70000	Phillips 1983
Apoecilus	Apoecilus bracteatus	USA: Utah, Weber	-111.91000	41.26000	Phillips 1983
Apoecilus	Apoecilus bracteatus	USA: Washington, Asotin	-117.20000	46.19000	Phillips 1983
Apoecilus	Apoecilus bracteatus	USA: Washington, King	-122.23000	47.38000	Phillips 1983
Apoecilus	Apoecilus bracteatus	USA: Washington, Seattle	-122.30000	47.60000	Phillips 1983
Apoecilus	Apoecilus bracteatus	USA: Washington, Mason	-123.18000	47.35000	Phillips 1983
Apoecilus	Apoecilus bracteatus	USA: Washington, Pacific	-120.50000	47.50000	Phillips 1983
Apoecilus	Apoecilus bracteatus	USA: Washington, Pierce	-122.51000	47.17000	Phillips 1983
Apoecilus	Apoecilus bracteatus	USA: Washington, Stevens	-117.85000	48.39000	Phillips 1983
Apoecilus	Apoecilus bracteatus	USA: Washington, Wawawai	-117.37000	46.63000	Phillips 1983
Apoecilus	Apoecilus bracteatus	USA: Washington, Whitman	-117.52000	46.90000	Phillips 1983
Apoecilus	Apoecilus bracteatus	USA: Washington, Yakima	-120.50000	46.60000	Phillips 1983
Apoecilus	Apoecilus bracteatus	USA: Wisconsin, Bayfield	-91.18000	46.63000	Phillips 1983
Apoecilus	Apoecilus bracteatus	USA: Wisconsin, Dane	-89.41000	43.06000	Phillips 1983
Apoecilus	Apoecilus bracteatus	USA: Wisconsin, Door	-87.35000	44.83000	Phillips 1983
Apoecilus	Apoecilus bracteatus	USA: Wisconsin, Iron	-90.26000	46.31000	Phillips 1983
Apoecilus	Apoecilus bracteatus	USA: Wisconsin, Marathon	-89.75000	44.89000	Phillips 1983
Apoecilus	Apoecilus bracteatus	USA: Wisconsin, Milwaukee	-87.90000	43.03000	Phillips 1983
Apoecilus	Apoecilus bracteatus	USA: Winsconsin, Ozaukee County, near Newburg, Riveredge Nature Center, Hawthorne Dr.	-88.02000	43.43000	MCPM
Apoecilus	Apoecilus bracteatus	USA: Winsconsin, Kenosha County, Chiwaukee Prairie. 	-88.05000	42.58000	MCPM
Apoecilus	Apoecilus bracteatus	USA: Montana, Glacier National Park, Iceberg Lake. 1800m.	-113.73000	48.81000	CLEV
Apoecilus	Apoecilus bracteatus	USA: Minesota, Pope County, Sedan. 	-95.24000	45.57000	UMSP
Apoecilus	Apoecilus bracteatus	USA: Minnesota, Cook County.	-90.67000	47.69000	UMSP
Apoecilus	Apoecilus bracteatus	USA: New Mexico, Lincoln National Forest, White Peak. 3200m. 	-106.34000	31.70000	UMSP
Apoecilus	Apoecilus bracteatus	USA: California, Mono County, Lee Vining, Mono Lake. 	-119.11000	37.96000	FSCA
Apoecilus	Apoecilus bracteatus	USA: North Dakota, McKenzie County, Theodore Roosevelt National Park. 	-103.53000	46.97000	AMNH
Apoecilus	Apoecilus bracteatus	USA: New York, Suffolk County, Fire Island. 	-73.14630	40.64750	AMNH
Apoecilus	Apoecilus bracteatus	USA: Illinois, Wauconda	-88.13000	42.25000	INHS
Apoecilus	Apoecilus bracteatus	USA: Illinois, McHenry County, Marengo, Wonder Lake Marengo.	-88.36000	42.38000	INHS
Apoecilus	Apoecilus bracteatus	USA: Illinois, Cook County, Chicago.	-87.62000	41.87000	INHS
Apoecilus	Apoecilus bracteatus	USA: Idaho, Freemont County, St. Anthony, dunes. 	-111.68000	43.96000	DARC
Apoecilus	Apoecilus bracteatus	USA: Utah, Sanpete County, Freedom.	-111.64000	39.54000	DARC
Apoecilus	Apoecilus bracteatus	USA: New Mexico, Bernalillo	-106.67000	35.05000	Bundy 2012
Apoecilus	Apoecilus bracteatus	USA: New Mexico, San Miguel	-104.81000	35.48000	Bundy 2012
Apoecilus	Apoecilus bracteatus	USA: Minnesota, Hennepin	-93.26000	44.97000	Koch et al. 2014
Apoecilus	Apoecilus bracteatus	USA: Minnesota, Kittson 	-96.78000	48.77000	Koch et al. 2014
Apoecilus	Apoecilus bracteatus	USA: Minnesota, Polk	-96.40000	47.77000	Koch et al. 2014
Apoecilus	Apoecilus bracteatus	USA: Minnesota, Pope	-95.44000	45.58000	Koch et al. 2014
Apoecilus	Apoecilus bracteatus	USA: Minnesota, Ramsey	-93.09000	45.01000	Koch et al. 2014
Apoecilus	Apoecilus bracteatus	USA: Minnesota, Stearns	-94.61000	45.55000	Koch et al. 2014
Apoecilus	Apoecilus bracteatus	CANADA: Quebec, Quebec	-71.21200	46.81410	Koch et al. 2014
Apoecilus	Apoecilus bracteatus	USA: New England	-71.00000	44.00000	Koch et al. 2014
Apoecilus	Apoecilus bracteatus	USA: Idaho	-114.25000	44.50000	Koch et al. 2014
Apoecilus	Apoecilus bracteatus	USA: Colorado	-105.50000	39.00000	Koch et al. 2014
Apoecilus	Apoecilus bracteatus	USA: Utah	-111.75000	39.25000	Koch et al. 2014
Apoecilus	Apoecilus bracteatus	USA: California	-119.75000	37.25000	Koch et al. 2014
Apoecilus	Apoecilus bracteatus	USA: Connecticut, Prospect	-72.97000	41.50000	O'Donnell & Schaefer 2012
Apoecilus	Apoecilus bracteatus	USA: Connecticut, Meriden	-72.80000	41.53000	O'Donnell & Schaefer 2012
Apoecilus	Apoecilus bracteatus	USA: Connecticut, New Haven	-72.92000	41.60000	O'Donnell & Schaefer 2012
Apoecilus	Apoecilus bracteatus	USA: Connecticut, Madison	-72.57510	41.29430	O'Donnell & Schaefer 2012
Apoecilus	Apoecilus bracteatus	USA: Connecticut, Canaan	-73.32000	42.02000	O'Donnell & Schaefer 2012
Apoecilus	Apoecilus bracteatus	USA: Connecticut, Durham	-72.68000	41.48000	O'Donnell & Schaefer 2012
Apoecilus	Apoecilus bracteatus	USA: North Dakota, Cavalier	-98.46000	48.77000	Rider 2012
Apoecilus	Apoecilus bracteatus	USA: North Dakota, Grand Forks	-97.03000	47.92000	Rider 2012
Apoecilus	Apoecilus bracteatus	USA: Michigan, Allegan	-85.91000	42.51000	Swanson 2012
Apoecilus	Apoecilus bracteatus	USA: Michigan, Barry	-85.30000	42.59000	Swanson 2012
Apoecilus	Apoecilus bracteatus	USA: Michigan, Chippewa	-84.52000	46.32000	Swanson 2012
Apoecilus	Apoecilus bracteatus	USA: Michigan, Delta	-86.87000	45.79000	Swanson 2012
Apoecilus	Apoecilus bracteatus	USA: Michigan, Gladwin	-84.38000	43.99000	Swanson 2012
Apoecilus	Apoecilus bracteatus	USA: Michigan, Gratiot	-84.60000	43.29000	Swanson 2012
Apoecilus	Apoecilus bracteatus	USA: Michigan, Huron	-82.85000	43.91000	Swanson 2012
Apoecilus	Apoecilus bracteatus	USA: Michigan, Isabella	-84.84000	43.64000	Swanson 2012
Apoecilus	Apoecilus bracteatus	USA: Michigan, Keweenaw	-88.21000	47.28000	Swanson 2012
Apoecilus	Apoecilus bracteatus	USA: Michigan, Ogemaw	-84.12000	44.33000	Swanson 2012
Apoecilus	Apoecilus bracteatus	USA: Michigan, Schoolcraft	-86.17000	46.04000	Swanson 2012
Apoecilus	Apoecilus bracteatus	USA: Michigan, Washtenaw	-83.83000	42.25000	Swanson 2012
Apoecilus	Apoecilus bracteatus	USA: Washington, Olympic Mountains	-123.66000	47.87000	Zack 2012
Apoecilus	Apoecilus bracteatus	USA: Washington, Seattle, Pierce	-121.79000	46.92000	Zack 2012
Apoecilus	Apoecilus bracteatus	USA: Washington, Rainier	-122.68000	46.88000	Zack 2012
Apoecilus	Apoecilus bracteatus	USA: Washington, Colville	-117.90000	48.54000	Zack 2012
Apoecilus	Apoecilus bracteatus	USA: Washington, Pullman	-117.17000	46.73000	Zack 2012
Apoecilus	Apoecilus bracteatus	USA: Washington, Tampico	-120.86000	46.53000	Zack 2012
Apoecilus	Apoecilus cynicus	USA: New Mexico, Santa Fe	-105.93000	35.68000	Bundy 2012
Apoecilus	Apoecilus cynicus	USA: Minnesota, Morison	-94.26000	46.01000	Koch et al. 2014
Apoecilus	Apoecilus cynicus	USA: Minnesota, Clay	-96.49000	46.89000	Koch et al. 2014
Apoecilus	Apoecilus cynicus	USA: Minnesota, Hennepin	-93.26000	44.97000	Koch et al. 2014
Apoecilus	Apoecilus cynicus	USA: Minnesota, Norman	-96.45000	47.32000	Koch et al. 2014
Apoecilus	Apoecilus cynicus	USA: Minnesota, Ramsey	-93.09000	45.01000	Koch et al. 2014
Apoecilus	Apoecilus cynicus	USA: Minnesota, Waseca	-93.58000	44.02000	Koch et al. 2014
Apoecilus	Apoecilus cynicus	USA: Chicago	-87.65000	41.85000	Koch et al. 2014
Apoecilus	Apoecilus cynicus	USA: New England	-71.00000	44.00000	Koch et al. 2014
Apoecilus	Apoecilus cynicus	USA: Florida	-82.50000	28.75000	Koch et al. 2014
Apoecilus	Apoecilus cynicus	CANADA: Quebec, Quebec	-71.21200	46.81410	Koch et al. 2014
Apoecilus	Apoecilus cynicus	USA: Colorado	-105.50000	39.00000	Koch et al. 2014
Apoecilus	Apoecilus cynicus	USA: Texas	-99.25000	31.25000	Koch et al. 2014
Apoecilus	Apoecilus cynicus	USA: Arizona	-111.50000	34.50000	Koch et al. 2014
Apoecilus	Apoecilus cynicus	USA: Connecticut, Durham	-72.68000	41.48000	O'Donnell & Schaefer 2012
Apoecilus	Apoecilus cynicus	USA: Connecticut, Brookfield	-73.40000	41.48000	O'Donnell & Schaefer 2012
Apoecilus	Apoecilus cynicus	USA: Connecticut, Portland	-72.64000	41.57000	O'Donnell & Schaefer 2012
Apoecilus	Apoecilus cynicus	USA: Connecticut, Meriden	-72.80000	41.53000	O'Donnell & Schaefer 2012
Apoecilus	Apoecilus cynicus	USA: Connecticut, South Meriden	-72.83000	41.51000	O'Donnell & Schaefer 2012
Apoecilus	Apoecilus cynicus	USA: Connecticut, Storrs	-72.24000	41.80000	O'Donnell & Schaefer 2012
Apoecilus	Apoecilus cynicus	USA: Connecticut, Westville	-72.97000	41.33000	O'Donnell & Schaefer 2012
Apoecilus	Apoecilus cynicus	USA: North Dakota, Grand Forks	-97.03000	47.92000	Rider 2012
Apoecilus	Apoecilus cynicus	USA: North Dakota, Hettinger	-102.46000	46.43000	Rider 2012
Apoecilus	Apoecilus cynicus	USA: North Dakota, Richland	-96.94000	46.26000	Rider 2012
Apoecilus	Apoecilus cynicus	USA: North Dakota, Sargent	-97.63000	46.10000	Rider 2012
Apoecilus	Apoecilus cynicus	USA: Missouri, City of Louis	-90.19000	38.62000	Sites et al. 2012
Apoecilus	Apoecilus cynicus	USA: Missouri, Ozark	-92.44000	36.64000	Sites et al. 2012
Apoecilus	Apoecilus cynicus	USA: Missouri, Glaciated Plains	-91.85000	36.72000	Sites et al. 2012
Apoecilus	Apoecilus cynicus	USA: Michigan, Alger	-86.54000	46.45000	Swanson 2012
Apoecilus	Apoecilus cynicus	USA: Michigan, Allegan	-85.91000	42.51000	Swanson 2012
Apoecilus	Apoecilus cynicus	USA: Michigan, Berrien	-86.42000	41.91000	Swanson 2012
Apoecilus	Apoecilus cynicus	USA: Michigan, Cheboygan	-84.49000	45.47000	Swanson 2012
Apoecilus	Apoecilus cynicus	USA: Michigan, Crawford	-84.61000	44.68000	Swanson 2012
Apoecilus	Apoecilus cynicus	USA: Michigan, Gladwin	-84.38000	43.99000	Swanson 2012
Apoecilus	Apoecilus cynicus	USA: Michigan, Houghton	-88.65000	46.99000	Swanson 2012
Apoecilus	Apoecilus cynicus	USA: Michigan, Huron	-82.85000	43.91000	Swanson 2012
Apoecilus	Apoecilus cynicus	USA: Michigan, Ingham	-84.37000	42.59000	Swanson 2012
Apoecilus	Apoecilus cynicus	USA: Michigan, Iosco	-83.51000	44.30000	Swanson 2012
Apoecilus	Apoecilus cynicus	USA: Michigan, Isabella	-84.84000	43.64000	Swanson 2012
Apoecilus	Apoecilus cynicus	USA: Michigan, Keweenaw	-88.21000	47.28000	Swanson 2012
Apoecilus	Apoecilus cynicus	USA: Michigan, Lenawee	-84.06000	41.89000	Swanson 2012
Apoecilus	Apoecilus cynicus	USA: Michigan, Livingston	-83.91000	42.60000	Swanson 2012
Apoecilus	Apoecilus cynicus	USA: Michigan, Midland	-84.24000	43.61000	Swanson 2012
Apoecilus	Apoecilus cynicus	USA: Michigan, Muskegon	-86.24000	43.23000	Swanson 2012
Apoecilus	Apoecilus cynicus	USA: Michigan, Oakland	-83.29000	42.63000	Swanson 2012
Apoecilus	Apoecilus cynicus	USA: Michigan, Oceana	-86.31000	43.68000	Swanson 2012
Apoecilus	Apoecilus cynicus	USA: Michigan, Oscoda	-84.12000	44.68000	Swanson 2012
Apoecilus	Apoecilus cynicus	USA: Michigan, Saint Joseph	-85.52000	41.91000	Swanson 2012
Apoecilus	Apoecilus cynicus	USA: Michigan, Shiawassee	-84.14000	42.95000	Swanson 2012
Apoecilus	Apoecilus cynicus	USA: Michigan, Van Bure	-86.30000	42.28000	Swanson 2012
Apoecilus	Apoecilus cynicus	USA: Michigan, Washtenaw	-83.83000	42.25000	Swanson 2012
Apoecilus	Apoecilus cynicus	USA: Minnesota	-94.25000	46.25000	Pezzini et al. 2018
Apoecilus	Apoecilus cynicus	CANADA: Ontario, Guelph	-80.25000	43.54000	Phillips 1983
Apoecilus	Apoecilus cynicus	CANADA: Quebec, Covey Hill	-73.79000	45.01000	Phillips 1983
Apoecilus	Apoecilus cynicus	USA: Arizona, Coconino	-111.77000	35.83000	Phillips 1983
Apoecilus	Apoecilus cynicus	USA: Arizona, Williams	-112.19000	35.24000	Phillips 1983
Apoecilus	Apoecilus cynicus	USA: Colorado, El Paso	-104.52000	38.83000	Phillips 1983
Apoecilus	Apoecilus cynicus	USA: Colorado, Larimer	-105.46000	40.66000	Phillips 1983
Apoecilus	Apoecilus cynicus	USA: Colorado, Las Animas	-104.03000	37.31000	Phillips 1983
Apoecilus	Apoecilus cynicus	USA: Colorado, Trinidad	-104.50000	37.16000	Phillips 1983
Apoecilus	Apoecilus cynicus	USA: Connecticut, New Haven	-72.92000	41.30000	Phillips 1983
Apoecilus	Apoecilus cynicus	USA: Connecticut, Yale Bird	-73.45000	41.78000	Phillips 1983
Apoecilus	Apoecilus cynicus	USA: Connecticut, Tolland	-72.33000	41.85000	Phillips 1983
Apoecilus	Apoecilus cynicus	USA: Connecticut, Mansfield	-72.19000	41.76000	Phillips 1983
Apoecilus	Apoecilus cynicus	USA: Florida, Alachua	-82.35000	29.67000	Phillips 1983
Apoecilus	Apoecilus cynicus	USA: Florida, Dixie	-83.18000	29.58000	Phillips 1983
Apoecilus	Apoecilus cynicus	USA: Florida, Liberty	-84.88000	30.24000	Phillips 1983
Apoecilus	Apoecilus cynicus	USA: Georgia, Houston	-83.66000	32.45000	Phillips 1983
Apoecilus	Apoecilus cynicus	USA; Georgia, Liberty	-81.45000	31.80000	Phillips 1983
Apoecilus	Apoecilus cynicus	USA: Georgia, Union	-83.99000	34.83000	Phillips 1983
Apoecilus	Apoecilus cynicus	USA: Illinois, Champaign	-88.24000	40.11000	Phillips 1983
Apoecilus	Apoecilus cynicus	USA: Illinois, Glencoe	-87.75000	42.13000	Phillips 1983
Apoecilus	Apoecilus cynicus	USA: Illinois, Willow Springs	-87.86000	41.74000	Phillips 1983
Apoecilus	Apoecilus cynicus	USA: Illinois, Jersey	-90.35000	39.08000	Phillips 1983
Apoecilus	Apoecilus cynicus	USA: Illinois, Jackson	-89.38000	37.78000	Phillips 1983
Apoecilus	Apoecilus cynicus	USA: Illinois, Knox	-90.21000	40.93000	Phillips 1983
Apoecilus	Apoecilus cynicus	USA: Illinois, Lake Forest	-87.84000	42.25000	Phillips 1983
Apoecilus	Apoecilus cynicus	USA: Illinois, Mercer	-90.74000	41.20000	Phillips 1983
Apoecilus	Apoecilus cynicus	USA: Illinois, Ogle	-89.32000	42.04000	Phillips 1983
Apoecilus	Apoecilus cynicus	USA: Illinois, St Clair	-89.92000	38.47000	Phillips 1983
Apoecilus	Apoecilus cynicus	USA: Illinois, Edgebrook	-87.76000	41.99000	Phillips 1983
Apoecilus	Apoecilus cynicus	USA: Indiana, Brown	-86.22000	39.19000	Phillips 1983
Apoecilus	Apoecilus cynicus	USA: Indiana, Clark	-85.70000	38.47000	Phillips 1983
Apoecilus	Apoecilus cynicus	USA: Indiana, Crawford	-86.45000	38.29000	Phillips 1983
Apoecilus	Apoecilus cynicus	USA: Indiana, Lawrence	-86.48000	38.84000	Phillips 1983
Apoecilus	Apoecilus cynicus	USA: Indiana, Putnam	-86.84000	39.66000	Phillips 1983
Apoecilus	Apoecilus cynicus	USA: Indiana, Tippecanoe	-86.89000	40.38000	Phillips 1983
Apoecilus	Apoecilus cynicus	USA: Indiana, Hessville	-87.46000	41.59000	Phillips 1983
Apoecilus	Apoecilus cynicus	USA: Iowa, Boone	-93.88000	42.05000	Phillips 1983
Apoecilus	Apoecilus cynicus	USA: Iowa, Johnson	-91.58000	41.67000	Phillips 1983
Apoecilus	Apoecilus cynicus	USA: Iowa, Lee	-91.47000	40.64000	Phillips 1983
Apoecilus	Apoecilus cynicus	USA: Iowa, Tama	-92.53000	42.07000	Phillips 1983
Apoecilus	Apoecilus cynicus	USA: Iowa, Wapello	-92.40000	41.03000	Phillips 1983
Apoecilus	Apoecilus cynicus	USA: Iowa, Ottumwa	-92.40000	41.01000	Phillips 1983
Apoecilus	Apoecilus cynicus	USA: Iowa, Robinson	-91.57000	42.34000	Phillips 1983
Apoecilus	Apoecilus cynicus	USA: Kansas, Atchison	-95.31000	39.53000	Phillips 1983
Apoecilus	Apoecilus cynicus	USA: Kentucky, Fayette	-84.45000	38.04000	Phillips 1983
Apoecilus	Apoecilus cynicus	USA: Kentucky, Floyd	-82.74000	37.55000	Phillips 1983
Apoecilus	Apoecilus cynicus	USA: Kentucky, Laurel	-84.11000	37.11000	Phillips 1983
Apoecilus	Apoecilus cynicus	USA: Kentucky, Trigg	-87.87000	36.80000	Phillips 1983
Apoecilus	Apoecilus cynicus	USA: Louisiana, Jennings	-92.65000	30.22000	Phillips 1983
Apoecilus	Apoecilus cynicus	USA: Maine, Lincoln	-69.52000	43.99000	Phillips 1983
Apoecilus	Apoecilus cynicus	USA: Massachusetts, Dukes	-70.69000	41.38000	Phillips 1983
Apoecilus	Apoecilus cynicus	USA: Massachusetts, Hampshire	-72.66000	42.34000	Phillips 1983
Apoecilus	Apoecilus cynicus	USA: Massachusetts, Malden	-71.06000	42.42000	Phillips 1983
Apoecilus	Apoecilus cynicus	USA: Massachusetts, Tyngsboro	-71.42000	42.67000	Phillips 1983
Apoecilus	Apoecilus cynicus	USA: Michigan, Berrien	-86.33000	41.94000	Phillips 1983
Apoecilus	Apoecilus cynicus	USA: Michigan, Emmet	-84.98000	45.58000	Phillips 1983
Apoecilus	Apoecilus cynicus	USA: Michigan, Manistee	-86.28000	44.23000	Phillips 1983
Apoecilus	Apoecilus cynicus	USA: Michigan, Manchester	-84.03000	42.15000	Phillips 1983
Apoecilus	Apoecilus cynicus	USA: Minnesota, Mora	-93.29000	45.75000	Phillips 1983
Apoecilus	Apoecilus cynicus	USA: Missouri, Boone	-92.30000	38.99000	Phillips 1983
Apoecilus	Apoecilus cynicus	USA: Missouri, Columbia	-92.33000	38.95000	Phillips 1983
Apoecilus	Apoecilus cynicus	USA: Missouri, Carter	-90.96000	36.94000	Phillips 1983
Apoecilus	Apoecilus cynicus	USA: Missouri, Dent	-91.50000	37.60000	Phillips 1983
Apoecilus	Apoecilus cynicus	USA: Missouri, Lesterville	-90.84000	37.45000	Phillips 1983
Apoecilus	Apoecilus cynicus	USA: Missouri, Linn	-93.10000	39.87000	Phillips 1983
Apoecilus	Apoecilus cynicus	USA: Missouri, St Charles	-90.48000	38.78000	Phillips 1983
Apoecilus	Apoecilus cynicus	USA: Missouri, Shannon	-91.40000	37.15000	Phillips 1983
Apoecilus	Apoecilus cynicus	USA: Missouri, Texas	-95.53000	29.61000	Phillips 1983
Apoecilus	Apoecilus cynicus	USA: Missouri, Warren	-91.16000	38.76000	Phillips 1983
Apoecilus	Apoecilus cynicus	USA: Missouri, Wayne	-90.46000	37.11000	Phillips 1983
Apoecilus	Apoecilus cynicus	USA: New Hampshire, Coss	-71.18000	44.46000	Phillips 1983
