Genus	Species	Local_Label	decimalLongitude	decimalLatitude	Refs
Afrius	Afrius purpureus	DEMOCRATIC REPUBLIC OF THE CONGO: Duma 	30.57000	2.57000	Lehmann 1922; Roell et al. 2019
Afrius	Afrius purpureus	DEMOCRATIC REPUBLIC OF THE CONGO: Kananga 	22.43000	-7.96000	Distant 1901; Schouteden 1909; Roell et al. 2019
Afrius	Afrius purpureus	DEMOCRATIC REPUBLIC OF THE CONGO: Kwango: Indaba 	17.06000	-5.74000	Schouteden 1905; Roell et al. 2019
Afrius	Afrius purpureus	DEMOCRATIC REPUBLIC OF THE CONGO: Tanganika: Mpala 	29.52000	-6.73000	Schouteden 1905, 1909; Roell et al. 2019
Afrius	Afrius purpureus	EQUATORIAL GUINEA: Bioko [Fernando Po] 	8.66000	3.41000	Stål 1870; Schouteden 1905; Roell et al. 2019
Afrius	Afrius purpureus	ETHIOPIA: Oromiya: Banno	37.40000	4.85000	Hilgert 1908; Roell et al. 2019
Afrius	Afrius purpureus	ETHIOPIA: Ziway Hãyk 	38.83000	8.00000	Roell et al. 2019
Afrius	Afrius purpureus	GABON:Lambaréné 	10.24000	-0.70000	Schouteden 1905; Roell et al. 2019
Afrius	Afrius purpureus	GHANA: Ashanti: Tafo. 1966-XII-15. (U.V. Trap. Tafo Ghana 15.XII.66)	-1.61000	6.73000	DARC
Afrius	Afrius purpureus	GHANA: Ashanti: Tafo 	-1.61000	6.74000	Roell et al. 2019
Afrius	Afrius purpureus	GUINEA: Kindia 	18.86000	10.40000	Maldès & Pluot-Sigwalt 2004; Roell et al. 2019
Afrius	Afrius purpureus	GUINEA-BISSAU: Bolama 	-15.94000	11.46000	Schouteden 1913; Roell et al. 2019
Afrius	Afrius purpureus	IVORY COAST: Adiopodoumé 	-4.13000	5.43000	Gillon 1972; Linnavuori 1982, 1989; Roell et al. 2019
Afrius	Afrius purpureus	IVORY COAST: Bingerville 	-3.88000	5.35000	Schouteden 1964; Gillon 1972; Roell et al. 2019
Afrius	Afrius purpureus	IVORY COAST: Bouaflé 	-5.74000	6.99000	Gillon 1972; Roell et al. 2019
Afrius	Afrius purpureus	IVORY COAST: Bouaké 	-5.03000	7.69000	Villiers 1949; Gillon 1972; Roell et al. 2019
Afrius	Afrius purpureus	IVORY COAST: Foro-Foro 	-5.00000	7.94000	Linnavuori 1982; Roell et al. 2019
Afrius	Afrius purpureus	IVORY COAST: Grand-Bassam 	-3.75000	5.22000	Schouteden 1905; Maldès & Pluot-Sigwalt 2004; Roell et al. 2019
Afrius	Afrius purpureus	IVORY COAST: Lamto 	-5.03000	6.22000	Schouteden 1963; Maldès & Pluot-Sigwalt 2004; Roell et al. 2019
Afrius	Afrius purpureus	KENYA: Kibwezi 	37.96000	-2.41000	Roell et al. 2019
Afrius	Afrius purpureus	KENYA: Loitokitok 	37.51000	-2.92000	Schouteden 1910; Roell et al. 2019
Afrius	Afrius purpureus	KENYA: Mombasa 	39.62380	-4.02450	Maldès & Pluot-Sigwalt 2004; Roell et al. 2019
Afrius	Afrius purpureus	KENYA: Mumias. 4500 ft 	34.40000	0.33000	Roell et al. 2019
Afrius	Afrius purpureus	KENYA: Nairobi 	36.84000	-1.30000	Roell et al. 2019
Afrius	Afrius purpureus	KENYA: Nakuru: Ilala: Maramas Dist.: 14 m E of Mumias 	36.11000	-0.31000	Roell et al. 2019
Afrius	Afrius purpureus	KENYA: Taita Taveta 	38.44000	-3.40000	Roell et al. 2019
Afrius	Afrius purpureus	MALI: Dogo: Macina 	-5.73000	13.99000	Villiers 1954; Maldès & Pluot-Sigwalt 2004; Roell et al. 2019
Afrius	Afrius purpureus	MALI: Niono 	-5.95000	15.19000	Maldès & Pluot-Sigwalt 2004; Roell et al. 2019
Afrius	Afrius purpureus	MOZAMBIQUE: Quelimane 	36.88000	-17.87000	Gerstaecker 1892; Roell et al. 2019
Afrius	Afrius purpureus	NAMIBIA: Damaraland 	17.50000	-21.00000	Hesse 1925; Roell et al. 2019
Afrius	Afrius purpureus	NAMIBIA: Oshikoto: Tsumeb 	17.71000	-19.23000	Hesse 1925; Roell et al. 2019
Afrius	Afrius purpureus	NAMIBIA: Otjozondjupa: Otjiwarongo 	16.64000	-20.46000	Hesse 1925; Roell et al. 2019
Afrius	Afrius purpureus	NIGERIA: Azara 	9.50000	8.45000	Roell et al. 2019
Afrius	Afrius purpureus	NIGERIA: Enugu 	7.50000	6.73000	Roell et al. 2019
Afrius	Afrius purpureus	NIGERIA: Ibadan 	3.90000	7.37000	Linnavuori 1982; Roell et al. 2019
Afrius	Afrius purpureus	NIGERIA: Ile-Ife 	4.56000	7.48000	Linnavuori 1982; Roell et al. 2019
Afrius	Afrius purpureus	NIGERIA: Ilorin 	4.54000	8.49000	Golding 1931; Roell et al. 2019
Afrius	Afrius purpureus	NIGERIA: Kagoro forest 	8.47000	9.58000	Linnavuori 1982; Roell et al. 2019
Afrius	Afrius purpureus	NIGERIA: Kano 	8.61000	12.32000	Roell et al. 2019
Afrius	Afrius purpureus	NIGERIA: Kaura: Namoda 	6.57000	12.56000	Linnavuori 1982; Roell et al. 2019
Afrius	Afrius purpureus	NIGERIA: Mokwa 	5.33000	9.20000	Linnavuori 1982; Roell et al. 2019
Afrius	Afrius purpureus	NIGERIA: Zaria: Samaru 	7.63000	11.16000	Roell et al. 2019
Afrius	Afrius purpureus	SENEGAL: Dakar (Dakkar: VIII: Senegal 27: Baum)	-17.45000	14.68000	NMPC
Afrius	Afrius purpureus	SENEGAL: Bambey 	-16.47000	14.78000	Roell et al. 2019
Afrius	Afrius purpureus	SENEGAL: Cambérène 	-17.42000	14.77000	Maldès & Pluot-Sigwalt 2004; Roell et al. 2019
Afrius	Afrius purpureus	SENEGAL: Dakar: Gorée 	-17.39830	14.66700	Villiers 1949; Roell et al. 2019
Afrius	Afrius purpureus	SENEGAL: Dakar: Sébikotane 	-17.13000	14.74000	Villiers 1949; Roell et al. 2019
Afrius	Afrius purpureus	SENEGAL: Dakar: Thiaroye 	-17.35000	14.75000	Villiers 1949; Roell et al. 2019
Afrius	Afrius purpureus	SENEGAL: Mboro 	-16.88000	15.13000	Maldès & Pluot-Sigwalt 2004; Roell et al. 2019
Afrius	Afrius purpureus	SENEGAL: Pout 	-17.06000	14.77000	Villiers 1949; Roell et al. 2019
Afrius	Afrius purpureus	SENEGAL: Richard-Toll 	-15.69000	16.46000	Maldès & Pluot-Sigwalt 2004; Roell et al. 2019
Afrius	Afrius purpureus	SOMALIA: Afgooye 	45.12000	2.13000	Linnavuori 1976; Roell et al. 2019
Afrius	Afrius purpureus	SOMALIA: Jowhar 	45.56000	2.99000	Mancini 1937; Roell et al. 2019
Afrius	Afrius purpureus	SOUTH AFRICA: Free State: Toowoomba 	25.40000	-30.25000	Roell et al. 2019
Afrius	Afrius purpureus	SOUTH AFRICA: Free State: Toowoomba: 3m. 	25.41000	-30.24000	DARC
Afrius	Afrius purpureus	SOUTH AFRICA: Gauteng: Johannesburg: Bedford Ridge. 	28.05000	-26.21000	AMNH
Afrius	Afrius purpureus	SOUTH AFRICA: Pietermaritzburg	30.38000	-29.60000	EMG
Afrius	Afrius purpureus	SOUTH AFRICA: Barberton: Mpumalanga 	31.04000	-25.77000	Roell et al. 2019
Afrius	Afrius purpureus	SOUTH AFRICA: Cape of Good Hope 	18.42000	-34.27000	Maldès & Pluot-Sigwalt 2004; Roell et al. 2019
Afrius	Afrius purpureus	SOUTH AFRICA: Delagoa: Limpopo 	28.75000	-23.97000	Roell et al. 2019
Afrius	Afrius purpureus	SOUTH AFRICA: Eastern Cape: Matatiele 	28.80000	-30.36000	Roell et al. 2019
Afrius	Afrius purpureus	SOUTH AFRICA: Johannesburg 6000ft 	28.04000	-26.20000	Roell et al. 2019
Afrius	Afrius purpureus	SOUTH AFRICA: KwaZulu-Natal 	30.00000	-29.30000	Roell et al. 2019
Afrius	Afrius purpureus	SOUTH AFRICA: KwaZulu-Natal: Weenen 	30.07000	-28.84000	Roell et al. 2019
Afrius	Afrius purpureus	SOUTH AFRICA: Little Falls 	27.89000	-26.12000	Roell et al. 2019
Afrius	Afrius purpureus	SOUTH AFRICA: Northern Cape: Hester Malan N.R.: E. Springbok 	17.90000	-29.60000	Roell et al. 2019
Afrius	Afrius purpureus	SOUTH AFRICA: Pretoria 	28.24000	-25.73000	Distant 1892; Roell et al. 2019
