"","Species","is_endemic"
"159","Oechalia acuta","Endemic"
"160","Oechalia bryani","Endemic"
"161","Oechalia ferruginea","Endemic"
"162","Oechalia grisea","Endemic"
"163","Oechalia hirtipes","Endemic"
"164","Oechalia kaonohi","Endemic"
"165","Oechalia pacifica","Endemic"
"166","Oechalia patruelis","Endemic"
"167","Oechalia schellenbergii","Not Endemic"
"168","Oechalia similis","Endemic"
"169","Oechalia sinuata","Endemic"
"170","Oechalia suehiroae","Endemic"
"171","Oechalia swezeyi","Endemic"
"172","Oechalia virescens","Endemic"
"173","Oechalia virgula","Endemic"
"174","Oplomus annotatus","Endemic"
"175","Oplomus catena","Endemic"
"176","Oplomus cruentus","Endemic"
"177","Oplomus dichrous","Endemic"
"178","Oplomus ebulinus","Endemic"
"179","Oplomus festivus","Endemic"
"180","Oplomus mundus","Endemic"
"181","Oplomus mutabilis","Endemic"
"182","Oplomus pulcher","Endemic"
"183","Oplomus pulchriventris","Endemic"
"184","Oplomus punctatus","Endemic"
"185","Oplomus salamandra","Not Endemic"
"186","Ornithosoma rivierei","Endemic"
"187","Parajalla sanguineosignata","Endemic"
"188","Parealda bouvieri","Endemic"
"189","Perillus bioculatus","Endemic"
"190","Perillus circumcinctus","Endemic"
"191","Perillus confluens","Endemic"
"192","Perillus exaptus","Endemic"
"193","Perillus lunatus","Endemic"
"194","Perillus splendidus","Endemic"
"195","Perillus strigipes","Endemic"
"196","Picromerus bidens","Not Endemic"
"197","Picromerus brachypterus","Endemic"
"198","Picromerus conformis","Endemic"
"199","Picromerus elevatus","Endemic"
"200","Picromerus fasciaticeps","Endemic"
"201","Picromerus griseus","Endemic"
"202","Picromerus lewisi","Endemic"
"203","Picromerus nigridens","Endemic"
"204","Picromerus orientalis","Endemic"
"205","Picromerus pseudobidens","Endemic"
"206","Picromerus viridipunctatus","Endemic"
"207","Pinthaeus sanguinipes","Not Endemic"
"208","Planopsis silvaticus","Endemic"
"209","Platynopiellus delevali","Endemic"
"210","Platynopiellus dispar","Endemic"
"211","Platynopiellus fallax","Endemic"
"212","Platynopiellus horvathi","Endemic"
"213","Platynopiellus reichi","Endemic"
"214","Platynopiellus scutellatus","Endemic"
"215","Platynopiellus septendecimaculatus","Not Endemic"
"216","Platynopiellus thomsonii","Endemic"
"217","Platynopus calliger","Endemic"
"218","Platynopus carbonarius","Endemic"
"219","Platynopus dalpadoides","Endemic"
"220","Platynopus indicus","Endemic"
"221","Platynopus melanoleucus","Endemic"
"222","Podisus aenescens","Not Endemic"
"223","Podisus affinis","Not Endemic"
"224","Podisus australis","Endemic"
"225","Podisus boriquensis","Endemic"
"226","Podisus brevispinus","Endemic"
"227","Podisus congrex","Not Endemic"
"228","Podisus cornutus","Endemic"
"229","Podisus crassimargo","Endemic"
"230","Podisus curvispinus","Endemic"
"231","Podisus distinctus","Endemic"
"232","Podisus falcatus","Endemic"
"233","Podisus fuscescens","Not Endemic"
"234","Podisus graziae","Endemic"
"235","Podisus gundlachii","Endemic"
"236","Podisus insignis","Endemic"
"237","Podisus mactans","Endemic"
"238","Podisus maculiventris","Endemic"
"239","Podisus mexicanus","Endemic"
"240","Podisus mucronatus","Endemic"
"241","Podisus neglectus","Endemic"
"242","Podisus nigrispinus","Endemic"
"243","Podisus nigriventris","Endemic"
"244","Podisus pallipes","Endemic"
"245","Podisus placidus","Endemic"
"246","Podisus rostralis","Endemic"
"247","Podisus sagitta","Not Endemic"
"248","Podisus sculptus","Not Endemic"
"249","Podisus semialbus","Endemic"
"250","Podisus serieventris","Endemic"
"251","Podisus sordidus","Endemic"
"252","Podisus subferrugineus","Endemic"
"253","Podisus thomasi","Not Endemic"
"254","Podisus tinctus","Endemic"
"255","Podisus trucidatus","Endemic"
"256","Podisus ventralis","Endemic"
"257","Ponapea arachnoides","Endemic"
"258","Pseudanasida fallax","Endemic"
"259","Pseudanasida ikrami","Endemic"
"260","Rhacognathus americanus","Endemic"
"261","Rhacognathus callosus","Endemic"
"262","Rhacognathus corniger","Endemic"
"263","Rhacognathus punctatus","Not Endemic"
"264","Spockia tagala","Endemic"
"265","Stilbotes goulae","Endemic"
"266","Stilbotes semperi","Endemic"
"267","Stiretrus anchorago","Not Endemic"
"268","Stiretrus bifrenatus","Endemic"
"269","Stiretrus cinctellus","Endemic"
"270","Stiretrus decastigmus","Endemic"
"271","Stiretrus decemguttatus","Endemic"
"272","Stiretrus erythrocephalus","Endemic"
"273","Stiretrus loratus","Endemic"
"274","Stiretrus quinquepunctatus","Endemic"
"275","Supputius cincticeps","Endemic"
"276","Supputius pulchicornis","Endemic"
"277","Supputius typicus","Not Endemic"
"278","Troilus luridus","Not Endemic"
"279","Troilus testaceus","Endemic"
"280","Tylospilus acutissimus","Not Endemic"
"281","Tylospilus armatusimilis","Endemic"
"282","Tylospilus chilensis","Endemic"
"283","Tylospilus cloelia","Not Endemic"
"284","Tylospilus distans","Endemic"
"285","Tylospilus gaumeri","Endemic"
"286","Tylospilus megaspilus","Endemic"
"287","Tylospilus nigrobinotatus","Endemic"
