Species,Number_Cont,Conts,Number_Cntr,Cntrs,Count
Dorycoris pavoninus,1,Africa,21,Angola - Democratic Republic of the Congo - Benin - Burkina Faso - Cameroon - Central African Republic - Côte d'Ivoire - Republic of the Congo - Ethiopia - Gabon - Ghana - Guinea - Kenya - Madagascar - Nigeria - Rwanda - Senegal - Sierra Leone - South Africa - Tanzania - Togo,40
Ealda minax,1,Oceania,1,New Caledonia,1
Eocanthecona acuta ,1,Asia,1,Indonesia,2
Eocanthecona binotata,1,Asia,2,China - India,3
Eocanthecona concinna,1,Asia,4,China - India - Indonesia - Taiwan,15
Eocanthecona eburnea,1,Asia,1,Philippines,1
Eocanthecona formosa,1,Asia,1,Taiwan,1
Eocanthecona furcellata,2,Asia - Oceania,7,China - Taiwan - India - Jammu and Kashmir - Palau - Pakistan - Thailand,62
Eocanthecona glaugeri,1,Asia,1,Indonesia,1
Eocanthecona insularis,1,Asia,1,Sri Lanka,1
Eocanthecona japonicola,1,Asia,2,Japan - South Korea,3
Eocanthecona kyushuensis,1,Asia,1,Japan,1
Eocanthecona latipes,1,Asia,1,Philippines,4
Eocanthecona neotibialis,1,Asia,1,Pakistan,1
Eocanthecona ornatula,1,Asia,1,India,2
Eocanthecona parva,1,Asia,2,China - India,13
Eocanthecona populusi,1,Asia,1,Pakistan,1
Eocanthecona robusta,2,Australia - Asia,4,Australia - India - Indonesia - Sri Lanka,5
Eocanthecona rufescens,1,Asia,1,Indonesia,2
Eocanthecona shikokuensis,1,Asia,1,Japan,1
Eocanthecona thomsoni,1,Asia,1,China,8
Eocanthecona tibialis,1,Asia,2,India - Malaysia,4
Eocanthecona variabilis,1,Asia,1,Indonesia,2
Eocanthecona vollenhoveni,1,Asia,1,Indonesia,1
Euthyrhynchus floridanus,2,South America - North America,9,Bolivia - Brazil - Colombia - Costa Rica - Honduras - México - Nicaragua - United States - Venezuela,76
Friarius alluaudi,1,Africa,1,Madagascar,5
Glypsus abdominalis,1,Africa,1,Madagascar,3
Glypsus bouvieri,1,Africa,9,Cameroon - Central African Republic - Republic of the Congo - Democratic Republic of the Congo - Gabon - Côte d'Ivoire - Guinea - Mozambique - Tanzania,15
Glypsus carinulatus,1,Africa,1,Angola,1
Glypsus conspicuus,1,Africa,8,Botswana - Democratic Republic of the Congo - Kenya - Mozambique - South Africa - Tanzania - Zambia - Zimbabwe,19
Glypsus erubescens,1,Africa,4,Cameroon - Chad - Côte d'Ivoire - Mali,6
Glypsus fuscispinus,1,Africa,2,South Africa - Tanzania,2
Glypsus kuhlgatzi,1,Africa,9,Democratic Republic of the Congo - Cameroon - Central African Republic - Republic of the Congo - Ethiopia - Côte d'Ivoire - Guinea - Kenya - Tanzania,16
Glypsus nigripes,1,Africa,1,Madagascar,1
Glypsus sparsus,1,Africa,1,Sierra Leone,1
Glypsus truculentus,1,Africa,1,Madagascar,5
Glypsus vigil,1,Africa,1,Guinea,1
Hemallia signitenens,1,Africa,2,Madagascar - Mauritius,2
Heteroscelis bimaculata,1,South America,6,Argentina - Bolivia - Brazil - Ecuador - French Guiana - Peru,8
Heteroscelis lepida,2,South America - North America,9,Brazil - Colombia - Costa Rica - El Salvador - French Guiana - Honduras - México - Panama - Venezuela,17
Heteroscelis robustus,1,South America,2,Brazil - Colombia,8
Heteroscelis servillii,1,South America,10,Argentina - Bolivia - Brazil - Ecuador - French Guiana - Paraguay - Peru - Suriname - Trinidad and Tobago - Venezuela,37
Heteroscelis vandembergi,1,South America,1,Colombia,2
Hoploxys coeruleus,1,Africa,5,Democratic Republic of the Congo - Cameroon - Republic of the Congo - Gabon - Uganda,13
Jalla dumosa,2,Europe - Asia,9,Austria - China - Czechia - Germany - Hungary - Italy - Spain - Switzerland - Turkey,38
Jalla subcalcarata,1,Asia,1,China,7
Jalla subdilatata,1,Africa,1,Algeria,1
Jalloides opulentus,1,Australia,1,Australia,1
Jalloides rubricosus,1,Australia,1,Australia,1
Leptolobus eburneatus,1,Africa,2,Cameroon - Democratic Republic of the Congo,6
Leptolobus insignis,1,Africa,1,Malawi,1
Leptolobus karschi,1,Africa,1,Cameroon,1
Leptolobus martnini,1,Africa,2,Cameroon - Uganda,2
Leptolobus murrayi,1,Africa,4,Cameroon - Central African Republic - Côte d'Ivoire - Nigeria,4
Leptolobus zanzibaricus,1,Africa,1,Cameroon,1
Macrorhaphis acuta,1,Africa,13,Benin - Cameroon - Chad - Democratic Republic of the Congo - Kenya - Madagascar - Mali - Mozambique - Senegal - South Africa - Tanzania - Zambia - Zimbabwe,25
Macrorhaphis dallasi,1,Africa,1,Madagascar,6
Macrorhaphis leprosa,1,Africa,1,South Africa,4
Macrorhaphis wollastoni ,1,Africa,1,"Saint Helena, Ascension and Tris",1
Marmessulus brasilianus,1,South America,2,Argentina - Brazil,3
Marmessulus nigricornis,1,South America,2,Argentina - Brazil,7
Martinina inexpectata,1,Asia,1,China,3
Martinina prima,1,Asia,1,India,1
Mecosoma coquerelii,1,Africa,1,Madagascar,1
Mecosoma floridum,1,Africa,2,Kenya - Zimbabwe,2
Mecosoma mensor,1,Africa,8,Cameroon - Democratic Republic of the Congo - Côte d'Ivoire - Kenya - Nigeria - Uganda - Zambia - Zimbabwe,13
Montrouzieriellus borneensis,1,Asia,1,Malaysia,1
Montrouzieriellus falleni,2,Asia - Oceania,8,Indonesia - Kiribati - Micronesia - Marshall Islands - Palau - Papua New Guinea - Samoa - Solomon Islands,14
Montrouzieriellus inermis,1,Asia,1,Indonesia,1
Montrouzieriellus laetus,1,Asia,1,Indonesia,6
Montrouzieriellus lefebvrei,1,Asia,1,Indonesia,1
Montrouzieriellus minor,1,Asia,1,Indonesia,1
Montrouzieriellus purparascens,1,Asia,1,Indonesia,1
Montrouzieriellus turneri,2,Australia - Oceania,2,Australia - Papua New Guinea,3
Oechalia acuta,1,North America,1,United States,2
Oechalia bryani,1,North America,1,United States,3
Oechalia ferruginea,1,North America,1,United States,1
Oechalia grisea,1,North America,1,United States,2
Oechalia hirtipes,1,North America,1,United States,1
Oechalia kaonohi,1,North America,1,United States,6
Oechalia pacifica,1,North America,1,United States,5
Oechalia patruelis,1,North America,1,United States,8
Oechalia schellenbergii,2,Australia - Oceania,5,Australia - French Polynesia - Marshall Islands - United States Minor Outlying Isl - New Zealand,36
Oechalia similis,1,North America,1,United States,1
Oechalia sinuata,1,North America,1,United States,1
Oechalia suehiroae,1,North America,1,United States,1
Oechalia swezeyi,1,North America,1,United States,2
Oechalia virescens,1,North America,1,United States,8
Oechalia virgula,1,North America,1,United States,2
Oplomus annotatus,1,North America,1,Cuba,1
Oplomus catena,1,South America,3,Argentina - Brazil - Paraguay,31
Oplomus cruentus,1,South America,5,Argentina - Brazil - Ecuador - Paraguay - Uruguay,32
Oplomus dichrous,1,North America,2,Honduras - México,44
Oplomus ebulinus,1,South America,2,Ecuador - Peru,2
Oplomus festivus,1,South America,6,Argentina - Bolivia - Brazil - Colombia - Paraguay - Venezuela,33
Oplomus mundus,1,North America,2,Honduras - México,11
Oplomus mutabilis,1,North America,2,Honduras - México,14
Oplomus pulcher,1,North America,2,Honduras - México,33
Oplomus pulchriventris,1,South America,1,Argentina,6
Oplomus punctatus,1,South America,3,Argentina - Ecuador - Peru,12
Oplomus salamandra,2,South America - North America,10,Argentina - Bolivia - Brazil - Ecuador - French Guiana - Panama - Paraguay - Peru - Suriname - Venezuela,24
Ornithosoma rivierei,1,South America,1,Argentina,1
Parajalla sanguineosignata,1,South America,1,Argentina,2
Parealda bouvieri,1,Oceania,1,Northern Mariana Islands,1
Perillus bioculatus,1,North America,2,México - United States,121
Perillus circumcinctus,1,North America,1,United States,33
Perillus confluens,1,North America,2,Honduras - México,29
Perillus exaptus,1,North America,2,Canada - United States,61
Perillus lunatus,1,North America,1,United States,1
Perillus splendidus,1,North America,2,México - United States,13
Perillus strigipes,1,North America,1,United States,17
Picromerus bidens,3,Asia - Europe - North America,13,China - Czechia - Denmark - Germany - Hungary - Iran - Portugal - Russia - Slovakia - Spain - Switzerland - Turkey - United States,68
Picromerus brachypterus,1,Asia,1,Turkey,1
Picromerus conformis,1,Asia,1,Turkey,5
Picromerus elevatus,1,Asia,1,China,6
Picromerus fasciaticeps,1,Asia,1,China,2
Picromerus griseus,1,Asia,2,China - India,10
Picromerus lewisi,1,Asia,3,China - Japan - Kazakhstan,22
Picromerus nigridens,1,Europe,2,Portugal - Spain,13
Picromerus orientalis,1,Asia,1,Pakistan,1
Picromerus pseudobidens,1,Asia,1,Turkey,1
Picromerus viridipunctatus,1,Asia,1,China,8
Pinthaeus sanguinipes,2,Asia - Europe,7,China - Czechia - Italy - Portugal - Russia - Spain - Turkey,36
Planopsis silvaticus,1,Africa,4,Central African Republic - Democratic Republic of the Congo - Republic of the Congo - Gabon,5
Platynopiellus delevali,1,Africa,1,Angola,1
Platynopiellus dispar,1,Africa,1,Cameroon,1
Platynopiellus fallax,1,Africa,1,Cameroon,1
Platynopiellus horvathi,1,Africa,3,Cameroon - Liberia - Angola,3
Platynopiellus reichi,1,Africa,2,Cameroon - Ghana,2
Platynopiellus scutellatus,1,Africa,1,Democratic Republic of the Congo,1
Platynopiellus septendecimaculatus,2,Africa - Asia,7,Democratic Republic of the Congo - Benin - Cameroon - Ghana - India - Sierra Leone - Uganda,12
Platynopiellus thomsonii,1,Africa,2,Republic of the Congo - Cameroon,2
Platynopus calliger,1,Asia,1,Indonesia,1
Platynopus carbonarius,1,Asia,1,Indonesia,1
Platynopus dalpadoides,1,Asia,2,Indonesia - Philippines,2
Platynopus indicus,1,Asia,1,India,1
Platynopus melanoleucus,1,Asia,3,Taiwan - Indonesia - Philippines,4
Podisus aenescens,2,South America - North America,6,Argentina - Brazil - Ecuador - French Guiana - México - Peru,22
Podisus affinis,2,South America - North America,4,Colombia - Guatemala - Honduras - México,14
Podisus australis,1,South America,2,Argentina - Uruguay,2
Podisus boriquensis,1,North America,1,Puerto Rico,1
Podisus brevispinus,1,North America,2,Canada - United States,228
Podisus congrex,2,South America - North America,8,Colombia - Costa Rica - Ecuador - Guatemala - Haiti - Honduras - México - Venezuela,33
Podisus cornutus,1,South America,1,Brazil,1
Podisus crassimargo,1,South America,1,Brazil,1
Podisus curvispinus,1,South America,1,Brazil,1
Podisus distinctus,1,South America,1,Brazil,9
Podisus falcatus,1,North America,2,Guatemala - Honduras,3
Podisus fuscescens,2,South America - North America,11,Argentina - Bolivia - Brazil - Colombia - Ecuador - Honduras - México - Panama - Paraguay - Peru - Venezuela,87
Podisus graziae,1,South America,2,Brazil - Paraguay,6
Podisus gundlachii,1,North America,1,Cuba,1
Podisus insignis,1,North America,1,Guatemala,1
Podisus mactans,1,South America,1,Ecuador,1
Podisus maculiventris,1,North America,5,Canada - Cuba - Dominican Republic - México - United States,423
