"","Species","is_endemic","n"
"147","Martinina prima","Endemic",1
"148","Mecosoma coquerelii","Endemic",1
"149","Mecosoma floridum","Not Endemic",2
"150","Mecosoma mensor","Not Endemic",13
"151","Montrouzieriellus borneensis","Endemic",1
"152","Montrouzieriellus falleni","Not Endemic",14
"153","Montrouzieriellus inermis","Endemic",1
"154","Montrouzieriellus laetus","Endemic",6
"155","Montrouzieriellus lefebvrei","Endemic",1
"156","Montrouzieriellus minor","Endemic",1
"157","Montrouzieriellus purparascens","Endemic",1
"158","Montrouzieriellus turneri","Not Endemic",3
"159","Oechalia acuta","Endemic",2
"160","Oechalia bryani","Endemic",3
"161","Oechalia ferruginea","Endemic",1
"162","Oechalia grisea","Endemic",2
"163","Oechalia hirtipes","Endemic",1
"164","Oechalia kaonohi","Endemic",6
"165","Oechalia pacifica","Endemic",5
"166","Oechalia patruelis","Endemic",8
"167","Oechalia schellenbergii","Not Endemic",36
"168","Oechalia similis","Endemic",1
"169","Oechalia sinuata","Endemic",1
"170","Oechalia suehiroae","Endemic",1
"171","Oechalia swezeyi","Endemic",2
"172","Oechalia virescens","Endemic",8
"173","Oechalia virgula","Endemic",2
"174","Oplomus annotatus","Endemic",1
"175","Oplomus catena","Not Endemic",31
"176","Oplomus cruentus","Not Endemic",32
"177","Oplomus dichrous","Not Endemic",44
"178","Oplomus ebulinus","Not Endemic",2
"179","Oplomus festivus","Not Endemic",33
"180","Oplomus mundus","Not Endemic",11
"181","Oplomus mutabilis","Not Endemic",14
"182","Oplomus pulcher","Not Endemic",33
"183","Oplomus pulchriventris","Endemic",6
"184","Oplomus punctatus","Not Endemic",12
"185","Oplomus salamandra","Not Endemic",24
"186","Ornithosoma rivierei","Endemic",1
"187","Parajalla sanguineosignata","Endemic",2
"188","Parealda bouvieri","Endemic",1
"189","Perillus bioculatus","Not Endemic",121
"190","Perillus circumcinctus","Endemic",33
"191","Perillus confluens","Not Endemic",29
"192","Perillus exaptus","Not Endemic",61
"193","Perillus lunatus","Endemic",1
"194","Perillus splendidus","Not Endemic",13
"195","Perillus strigipes","Endemic",17
"196","Picromerus bidens","Not Endemic",68
"197","Picromerus brachypterus","Endemic",1
"198","Picromerus conformis","Endemic",5
"199","Picromerus elevatus","Endemic",6
"200","Picromerus fasciaticeps","Endemic",2
"201","Picromerus griseus","Not Endemic",10
"202","Picromerus lewisi","Not Endemic",22
"203","Picromerus nigridens","Not Endemic",13
"204","Picromerus orientalis","Endemic",1
"205","Picromerus pseudobidens","Endemic",1
"206","Picromerus viridipunctatus","Endemic",8
"207","Pinthaeus sanguinipes","Not Endemic",36
"208","Planopsis silvaticus","Not Endemic",5
"209","Platynopiellus delevali","Endemic",1
"210","Platynopiellus dispar","Endemic",1
"211","Platynopiellus fallax","Endemic",1
"212","Platynopiellus horvathi","Not Endemic",3
"213","Platynopiellus reichi","Not Endemic",2
"214","Platynopiellus scutellatus","Endemic",1
"215","Platynopiellus septendecimaculatus","Not Endemic",12
