genus,Species,Local_Label,decimalLongitude,decimalLatitude,Refs,country,continent,realm,country_level_record
Dorycoris,Dorycoris pavoninus,CENTRAL AFRICAN REPUBLIC: Maboké,17.84,3.83,Maldès & Pluot-Sigwalt 2004,Central African Republic,Africa,Afrotropic,No
Dorycoris,Dorycoris pavoninus,"COTE D'IVOIRE, Vallée du Bandama, Bouaké",-5.03,7.69,AMNH,Côte d'Ivoire,Africa,Afrotropic,No
Dorycoris,Dorycoris pavoninus,DEMOCRATIC REPUBLIC OF THE CONGO: Abumombazi,22.1533,3.684,RMCA,Democratic Republic of the Congo,Africa,Afrotropic,No
Dorycoris,Dorycoris pavoninus,DEMOCRATIC REPUBLIC OF THE CONGO: Brazzaville,15.28,-4.26,Maldès & Pluot-Sigwalt 2004,Republic of the Congo,Africa,Afrotropic,No
Dorycoris,Dorycoris pavoninus,DEMOCRATIC REPUBLIC OF THE CONGO: Odzala,14.65,0.51,Maldès & Pluot-Sigwalt 2004,Republic of the Congo,Africa,Afrotropic,No
Dorycoris,Dorycoris pavoninus,"ETHIOPIA: Amhara, Ankober",39.73,9.59,Gapon & Konstantinov 2006,Ethiopia,Africa,Afrotropic,No
Dorycoris,Dorycoris pavoninus,ETHIOPIA: Harar,42.11,9.31,Maldès & Pluot-Sigwalt 2004,Ethiopia,Africa,Afrotropic,No
Dorycoris,Dorycoris pavoninus,GABON: Belinga,13.19,1.14,Maldès & Pluot-Sigwalt 2004,Gabon,Africa,Afrotropic,No
Dorycoris,Dorycoris pavoninus,GABON: Cap Esterias,9.32,0.61,Maldès & Pluot-Sigwalt 2004,Gabon,Africa,Afrotropic,No
Dorycoris,Dorycoris pavoninus,GHANA,-1.2,8.1,Thomas 1994,Ghana,Africa,Afrotropic,Yes
Dorycoris,Dorycoris pavoninus,"GHANA: Ashanti, Tafo",-1.6,6.73,DARC,Ghana,Africa,Afrotropic,No
Dorycoris,Dorycoris pavoninus,GUINEA: Nimba,-8.41,7.61,Maldès & Pluot-Sigwalt 2004,Côte d'Ivoire,Africa,Afrotropic,No
Dorycoris,Dorycoris pavoninus,GUINEA: Yalanzou,-8.68,7.71,Maldès & Pluot-Sigwalt 2004,Guinea,Africa,Afrotropic,No
Dorycoris,Dorycoris pavoninus,IVORY COAST: Bingerville,-3.88,5.35,Maldès & Pluot-Sigwalt 2004,Côte d'Ivoire,Africa,Afrotropic,No
Dorycoris,Dorycoris pavoninus,IVORY COAST: Toumodi,-5.01,6.55,Maldès & Pluot-Sigwalt 2004,Côte d'Ivoire,Africa,Afrotropic,No
Dorycoris,Dorycoris pavoninus,"KENYA: Mont Aberdare, 2600m, Kinangop forest",36.63,-0.38,Maldès & Pluot-Sigwalt 2004,Kenya,Africa,Afrotropic,No
Dorycoris,Dorycoris pavoninus,KENYA: Nairobi,36.81,-1.28,Maldès & Pluot-Sigwalt 2004,Kenya,Africa,Afrotropic,No
Dorycoris,Dorycoris pavoninus,MADAGASCAR,47,-20,Gapon & Konstantinov 2006,Madagascar,Africa,Afrotropic,Yes
Dorycoris,Dorycoris pavoninus,"MADAGASCAR, Ifanadiana. Mus. Praha",47.63,-21.3,NMPC,Madagascar,Africa,Afrotropic,No
Dorycoris,Dorycoris pavoninus,MADAGASCAR: Antananarivo,47.53,-18.91,Maldès & Pluot-Sigwalt 2004,Madagascar,Africa,Afrotropic,No
Dorycoris,Dorycoris pavoninus,MADAGASCAR: Fenerive,49.2,-17.16,Maldès & Pluot-Sigwalt 2004,Madagascar,Africa,Afrotropic,No
Dorycoris,Dorycoris pavoninus,MADAGASCAR: Maroantsetra: Fampanambo,49.62,-15.37,Maldès & Pluot-Sigwalt 2004,Madagascar,Africa,Afrotropic,No
Dorycoris,Dorycoris pavoninus,"MADAGASCAR: Maromandia, Ananalava",47.7576,-14.6423,Maldès & Pluot-Sigwalt 2004,Madagascar,Africa,Afrotropic,No
Dorycoris,Dorycoris pavoninus,NIGERIA,8,10,Thomas 1994,Nigeria,Africa,Afrotropic,Yes
Dorycoris,Dorycoris pavoninus,RUANDA: N. Lac Kivu: Rwankwi,29.2803,-1.669,RMCA,Rwanda,Africa,Afrotropic,No
Dorycoris,Dorycoris pavoninus,SENEGAL: Mboro,-16.88,15.14,Maldès & Pluot-Sigwalt 2004,Senegal,Africa,Afrotropic,No
Dorycoris,Dorycoris pavoninus,SIERRA LEONe: Mont Loma ,-11.11,9.22,Maldès & Pluot-Sigwalt 2004,Sierra Leone,Africa,Afrotropic,No
Dorycoris,Dorycoris pavoninus,"SOUTH AFRICA:  Northern Cape Prov., 20km NW of Kimberley",24.77,-28.38,AMNH,South Africa,Africa,Afrotropic,No
Dorycoris,Dorycoris pavoninus,SOUTH AFRICA: Cape of Good Hope,18.46,-34.33,Roell et al 2023,South Africa,Africa,Afrotropic,No
Dorycoris,Dorycoris pavoninus,"SOUTH AFRICA: Oudtshoorn, Cango Mountain Resort",22.26,-33.41,DARC,South Africa,Africa,Afrotropic,No
Dorycoris,Dorycoris pavoninus,TANZANIA: Arusha,36.67,-3.38,EMG,Tanzania,Africa,Afrotropic,No
Dorycoris,Dorycoris pavoninus,TOGO,1.08,8.66,Thomas 1994,Togo,Africa,Afrotropic,Yes
Ealda,Ealda minax,NEW CALEDONIA: Mr Mou,165.5,-21.5,NHMUK,New Caledonia,Oceania,Australasia,No
Eocanthecona,Eocanthecona acuta ,INDONESIA: North Maluku,127.84,0.62,Brugnera et al 2024,Indonesia,Asia,Australasia,No
Eocanthecona,Eocanthecona acuta ,TIMOR,124.79,-9.47,Brugnera et al 2024,Indonesia,Asia,Australasia,Yes
Eocanthecona,Eocanthecona binotata,CHINA: Sichuan,102.66,30.5,Rider & Zheng 2002,China,Asia,Palearctic,No
Eocanthecona,Eocanthecona binotata,CHINA: Yunnan,101.5,25,Rider & Zheng 2002,China,Asia,Palearctic,No
Eocanthecona,Eocanthecona binotata,INDIA: Nagaland,94.5,26.08333,Pal et al 2023,India,Asia,Indomalayan,No
Eocanthecona,Eocanthecona concinna,CHINA: Fujian,118,26.25,Rider & Zheng 2002,China,Asia,Indomalayan,No
Eocanthecona,Eocanthecona concinna,CHINA: Guangdong,113.25,23.5,Rider & Zheng 2002,China,Asia,Indomalayan,No
Eocanthecona,Eocanthecona concinna,CHINA: Guangxi,109,24,Rider & Zheng 2002,China,Asia,Indomalayan,No
Eocanthecona,Eocanthecona concinna,CHINA: Guizhou,107,27,Rider & Zheng 2002,China,Asia,Palearctic,No
Eocanthecona,Eocanthecona concinna,CHINA: Hainan,109.75,19.25,Rider & Zheng 2002,China,Asia,Indomalayan,No
Eocanthecona,Eocanthecona concinna,CHINA: Hunan,111.75,27.66,Rider & Zheng 2002,China,Asia,Indomalayan,No
Eocanthecona,Eocanthecona concinna,CHINA: Jiangxi,115.66,27.66,Rider & Zheng 2002,China,Asia,Indomalayan,No
Eocanthecona,Eocanthecona concinna,CHINA: Sichuan,102.66,30.5,Rider & Zheng 2002,China,Asia,Palearctic,No
Eocanthecona,Eocanthecona concinna,CHINA: Xizang,88,31.66,Rider & Zheng 2002,China,Asia,Palearctic,No
Eocanthecona,Eocanthecona concinna,CHINA: Yunnan,101.5,25,Rider & Zheng 2002,China,Asia,Palearctic,No
Eocanthecona,Eocanthecona concinna,HONG KONG,114.16,22.31,Roell et al 2023,China,Asia,Indomalayan,No
Eocanthecona,Eocanthecona concinna,"INDIA: Maharashtra, Kolhapur",74.19,15.91,Washmare 2017,India,Asia,Indomalayan,No
Eocanthecona,Eocanthecona concinna,"INDIA: Tamil Nadu, Coimbatore",76.96,11,Srikumar et al 2018,India,Asia,Indomalayan,No
Eocanthecona,Eocanthecona concinna,"INDONESIA: Sumatra, Dolok Merangir. E.W.Diehl.",99.1,3.11,AMNH,Indonesia,Asia,Indomalayan,No
Eocanthecona,Eocanthecona concinna,TAIWAN ,121,24,Miyamoto 1965,Taiwan,Asia,Indomalayan,Yes
Eocanthecona,Eocanthecona eburnea,PHILIPPINES: Mount Makiling,121.2,14.13002,OUMNH,Philippines,Asia,Indomalayan,No
Eocanthecona,Eocanthecona formosa,CHINA: Taiwan,121,24,Rider & Zheng 2002,Taiwan,Asia,Indomalayan,No
Eocanthecona,Eocanthecona furcellata,CHINA: Guangdong,113.25,23.5,Rider & Zheng 2002,China,Asia,Indomalayan,No
Eocanthecona,Eocanthecona furcellata,CHINA: Guizhou,107,27,Rider & Zheng 2002,China,Asia,Palearctic,No
Eocanthecona,Eocanthecona furcellata,CHINA: Hainan,109.75,19.25,Rider & Zheng 2002,China,Asia,Indomalayan,No
Eocanthecona,Eocanthecona furcellata,CHINA: Jiangxi,115.66,27.66,Rider & Zheng 2002,China,Asia,Indomalayan,No
Eocanthecona,Eocanthecona furcellata,CHINA: Sichuan,102.66,30.5,Rider & Zheng 2002,China,Asia,Palearctic,No
Eocanthecona,Eocanthecona furcellata,CHINA: Taiwan,121,24,Rider & Zheng 2002,Taiwan,Asia,Indomalayan,No
Eocanthecona,Eocanthecona furcellata,INDIA: Assam,93,26,Salini 2015,India,Asia,Indomalayan,No
Eocanthecona,Eocanthecona furcellata,"INDIA: Bellary, Bijapur",75.69,16.18,Salini 2015,India,Asia,Indomalayan,No
Eocanthecona,Eocanthecona furcellata,INDIA: Bhandara,79.64,21.16,Gathalkar & Barsagade 2016,India,Asia,Indomalayan,No
Eocanthecona,Eocanthecona furcellata,"INDIA: Bihar, Arrah",84.66,25.55,Salini 2015,India,Asia,Indomalayan,No
Eocanthecona,Eocanthecona furcellata,"INDIA: Central INDIA: Madhya Pradesh, Satpura National Park, Pachmarhi. ",78.3842,22.4838,DARC,India,Asia,Indomalayan,No
Eocanthecona,Eocanthecona furcellata,INDIA: Chandrapur,79.44,20.11,Barsagade et al 2016,India,Asia,Indomalayan,No
Eocanthecona,Eocanthecona furcellata,INDIA: Chennai,80.27,13.08,Salini 2015,India,Asia,Indomalayan,No
Eocanthecona,Eocanthecona furcellata,INDIA: Chhapra,84.74,25.78,Salini 2015,India,Asia,Indomalayan,No
Eocanthecona,Eocanthecona furcellata,"INDIA: Chhattisgarh, Jagdalpur",82.02,19.08,Biswas et al 2014,India,Asia,Indomalayan,No
Eocanthecona,Eocanthecona furcellata,"INDIA: Chhattisgarh, Raipur",81.63,21.23,Biswas et al 2014,India,Asia,Indomalayan,No
Eocanthecona,Eocanthecona furcellata,"INDIA: Chhattisgarh, Surguja",83.09,22.89,Biswas et al 2014,India,Asia,Indomalayan,No
Eocanthecona,Eocanthecona furcellata,INDIA: Gadchiroli,80.2,19.8,Barsagade et al 2016,India,Asia,Indomalayan,No
Eocanthecona,Eocanthecona furcellata,"INDIA: Jammu and Kashmir, Srinagar",74.8,34.08,Salini 2015,Jammu and Kashmir,Asia,Indomalayan,No
Eocanthecona,Eocanthecona furcellata,INDIA: Jharkhand,85.5,23.75,Biswas et al 2014,India,Asia,Indomalayan,No
Eocanthecona,Eocanthecona furcellata,INDIA: Katagal,75.83,14.66,Salini 2015,India,Asia,Indomalayan,No
Eocanthecona,Eocanthecona furcellata,INDIA: Kolkata,88.36,22.56,Salini 2015,India,Asia,Indomalayan,No
Eocanthecona,Eocanthecona furcellata,INDIA: Kovil,77.58,10.8,Salini 2015,India,Asia,Indomalayan,No
Eocanthecona,Eocanthecona furcellata,"INDIA: Kumaon, Almora",79.48,30.36,Bhatnagar et al 2019,India,Asia,Indomalayan,No
Eocanthecona,Eocanthecona furcellata,"INDIA: Kumaon, Khati",79.9,29.95,Bhatnagar et al 2019,India,Asia,Indomalayan,No
Eocanthecona,Eocanthecona furcellata,"INDIA: Kumaon, Lohaghat",80.1,29.83,Bhatnagar et al 2019,India,Asia,Indomalayan,No
Eocanthecona,Eocanthecona furcellata,"INDIA: Kumaon, Majihera",80.08,29.03,Bhatnagar et al 2019,India,Asia,Indomalayan,No
Eocanthecona,Eocanthecona furcellata,"INDIA: Kumaon, Pantnagar",79.47,29.03,Bhatnagar et al 2019,India,Asia,Indomalayan,No
Eocanthecona,Eocanthecona furcellata,"INDIA: Kumaon, Pithoragarh",80.21,29.58,Bhatnagar et al 2019,India,Asia,Indomalayan,No
Eocanthecona,Eocanthecona furcellata,"INDIA: Kumaon, Ramnagar",78.95,29.21,Bhatnagar et al 2019,India,Asia,Indomalayan,No
Eocanthecona,Eocanthecona furcellata,INDIA: Madhya Pradesh,78.5,23.5,Chandra et al 2012,India,Asia,Indomalayan,No
Eocanthecona,Eocanthecona furcellata,"INDIA: Madhya Pradesh, Jabalpur",79.95,23.16,Sharma et al 2019,India,Asia,Indomalayan,No
Eocanthecona,Eocanthecona furcellata,"INDIA: Madhya Pradesh, Rewa. L.J. Stannard.",81.3,24.53,INHS,India,Asia,Indomalayan,No
Eocanthecona,Eocanthecona furcellata,INDIA: Maharashtra,76,19.5,Biswas et al 2014,India,Asia,Indomalayan,No
Eocanthecona,Eocanthecona furcellata,"INDIA: Maharashtra, Bhandara",79.68,21.05,Barsagade et al 2016,India,Asia,Indomalayan,No
Eocanthecona,Eocanthecona furcellata,INDIA: Mumbai,72.88,19.07,Salini 2015,India,Asia,Indomalayan,No
Eocanthecona,Eocanthecona furcellata,INDIA: Nagaland,94.5,26.08,Salini 2015,India,Asia,Indomalayan,No
Eocanthecona,Eocanthecona furcellata,INDIA: Noganur,77.77,12.47,Salini 2015,India,Asia,Indomalayan,No
Eocanthecona,Eocanthecona furcellata,INDIA: Odisha,84.41,20.5,Salini 2015,India,Asia,Indomalayan,No
Eocanthecona,Eocanthecona furcellata,INDIA: Punjab,74,30,Salini 2015,India,Asia,Indomalayan,No
Eocanthecona,Eocanthecona furcellata,"INDIA: Punjab, Gusdarpur",75.27,31.92,Kaur et al 2012,India,Asia,Indomalayan,No
Eocanthecona,Eocanthecona furcellata,"INDIA: Punjab, Pathankot",75.64,32.33,Kaur & Semahagn 2010,India,Asia,Indomalayan,No
Eocanthecona,Eocanthecona furcellata,"INDIA: Punjab, Patiala",76.4,30.35,Kaur et aln 2012,India,Asia,Indomalayan,No
Eocanthecona,Eocanthecona furcellata,INDIA: Pusa,85.66,25.97,Salini 2015,India,Asia,Indomalayan,No
Eocanthecona,Eocanthecona furcellata,INDIA: Ranchi,85.37,23.33,Salini 2015,India,Asia,Indomalayan,No
Eocanthecona,Eocanthecona furcellata,INDIA: Tamil Nadu,78.33,11,Biswas et al 2014,India,Asia,Indomalayan,No
Eocanthecona,Eocanthecona furcellata,"INDIA: Telangana, Rajendranagar",78.4,17.31,Lenin & Rajan 2016,India,Asia,Indomalayan,No
Eocanthecona,Eocanthecona furcellata,INDIA: Uttar Pradesh,80.75,27.75,Biswas et al 2014,India,Asia,Indomalayan,No
Eocanthecona,Eocanthecona furcellata,"INDIA: Uttar Pradesh, Deoria",83.75,26.66,Claver & Jaiswal 2013,India,Asia,Indomalayan,No
Eocanthecona,Eocanthecona furcellata,INDIA: Uttarakhand,79.25,30.25,Salini 2015,India,Asia,Indomalayan,No
Eocanthecona,Eocanthecona furcellata,"INDIA: Uttarakhand, Dehradun, Dobhalwala. 700m.",78.0459,30.3335,AMNH,India,Asia,Indomalayan,No
Eocanthecona,Eocanthecona furcellata,"INDIA: Uttarakhand, Pantnagar",79.51,29.05,Chakravarty et al 2016,India,Asia,Indomalayan,No
Eocanthecona,Eocanthecona furcellata,INDIA: Vedanthangal,79.85,12.54,Salini 2015,India,Asia,Indomalayan,No
Eocanthecona,Eocanthecona furcellata,INDIA: Vidarbha,78.15,20.94,Barsagade et al 2016,India,Asia,Indomalayan,No
Eocanthecona,Eocanthecona furcellata,INDIA: West Bengal,88,24,Das et al 2010,India,Asia,Indomalayan,No
Eocanthecona,Eocanthecona furcellata,"MICRONESIA: Caroline Islands, Palau",134.55,7.45,Ruckes 1963,Palau,Oceania,Oceania,No
Eocanthecona,Eocanthecona furcellata,"PAKISTAN: Khyber, Langeril",71.68,33.98,Ahmed & Bajwa 2016,Pakistan,Asia,Palearctic,No
Eocanthecona,Eocanthecona furcellata,PAKISTAN: Krishna,74.29,31.56,Ullah et al 2017,Pakistan,Asia,Indomalayan,No
Eocanthecona,Eocanthecona furcellata,"PAKISTAN: Swat, Barikot",72.22,34.67,Ullah et al 2017,Pakistan,Asia,Indomalayan,No
Eocanthecona,Eocanthecona furcellata,"PAKISTAN: Swat, Parrai",72.22,34.7,Ullah et al 2017,Pakistan,Asia,Indomalayan,No
Eocanthecona,Eocanthecona furcellata,"PAKISTAN: Swat, Shamozai",72.12,34.68,Ullah et al 2017,Pakistan,Asia,Indomalayan,No
Eocanthecona,Eocanthecona furcellata,"THAILAND: Chiang Mai prov., San Sai district, Maejo University. ",99.0971,18.9358,FSCA,Thailand,Asia,Indomalayan,No
Eocanthecona,Eocanthecona glaugeri,INDONESIA: Sumatra,101.29,0.26,Brugnera et al 2024,Indonesia,Asia,Indomalayan,No
Eocanthecona,Eocanthecona insularis,"SRI LANKA: Pundaloya, Ceylon.",80.66,7.01,Brugnera et al 2024,Sri Lanka,Asia,Indomalayan,No
Eocanthecona,Eocanthecona japonicola,JAPAN,139.75,35.68,Thomas 1994,Japan,Asia,Palearctic,Yes
Eocanthecona,Eocanthecona japonicola,"SOUTH KOREA: Jeollanam-do, Suncheon-si",127.46,34.97,Lee et al 2015,South Korea,Asia,Palearctic,No
Eocanthecona,Eocanthecona japonicola,"SOUTH KOREA: Jeollanam-do, Yeosu-si",127.64,34.77,Lee et al 2015,South Korea,Asia,Palearctic,No
Eocanthecona,Eocanthecona kyushuensis,JAPAN,139.75,35.68,Thomas 1994,Japan,Asia,Palearctic,Yes
Eocanthecona,Eocanthecona latipes,PHILIPPINES: Luzón,121,16,Casto de Elera 1895,Philippines,Asia,Indomalayan,No
Eocanthecona,Eocanthecona latipes,PHILIPPINES: Manila,120.9822,14.6042,Casto de Elera 1895,Philippines,Asia,Indomalayan,No
Eocanthecona,Eocanthecona latipes,PHILIPPINES: Paragua,118.46149,9.53153,Casto de Elera 1895,Philippines,Asia,Indomalayan,No
Eocanthecona,Eocanthecona latipes,PHILIPPINES: Puerto Princesa,118.73528,9.73917,Casto de Elera 1895,Philippines,Asia,Indomalayan,No
Eocanthecona,Eocanthecona neotibialis,PAKISTAN,70,30,Thomas 1994,Pakistan,Asia,Palearctic,Yes
Eocanthecona,Eocanthecona ornatula,INDIA: Darjeeling,88.26667,27.03333,Roell et al 2023,India,Asia,Indomalayan,No
Eocanthecona,Eocanthecona ornatula,INDIA: West Bengal,88,24,Pal et al 2023,India,Asia,Indomalayan,No
Eocanthecona,Eocanthecona parva,CHINA: Xizang,88,31.66,Rider & Zheng 2002,China,Asia,Palearctic,No
Eocanthecona,Eocanthecona parva,CHINA: Yunnan,101.5,25,Rider & Zheng 2002,China,Asia,Palearctic,No
Eocanthecona,Eocanthecona parva,INDIA: Bengal,88,24,Salini 2015,India,Asia,Indomalayan,No
Eocanthecona,Eocanthecona parva,"INDIA: Bihar, Pusa",85.66,25.97,Salini 2015,India,Asia,Indomalayan,No
Eocanthecona,Eocanthecona parva,INDIA: Fraserpet,75.94,12.45,Salini 2015,India,Asia,Indomalayan,No
Eocanthecona,Eocanthecona parva,INDIA: Javadi,78.85,12.62,Salini 2015,India,Asia,Indomalayan,No
Eocanthecona,Eocanthecona parva,INDIA: Jawalagiri,76.38,30.22,Salini 2015,India,Asia,Indomalayan,No
Eocanthecona,Eocanthecona parva,INDIA: Karnataka,75.83,14.66,Salini 2015,India,Asia,Indomalayan,No
Eocanthecona,Eocanthecona parva,INDIA: Kerala,76.5,10.41,Salini 2015,India,Asia,Indomalayan,No
Eocanthecona,Eocanthecona parva,INDIA: Tamil Nadu,78.33,11,Salini 2015,India,Asia,Indomalayan,No
Eocanthecona,Eocanthecona parva,INDIA: Uttar Pradesh,80.75,27.75,Salini 2015,India,Asia,Indomalayan,No
Eocanthecona,Eocanthecona parva,"INDIA: Uttar Pradesh, Aligarh",78.16,27.83,Azim 2011,India,Asia,Indomalayan,No
Eocanthecona,Eocanthecona parva,INDIA: Uttarakhand,79.25,30.25,Salini 2015,India,Asia,Indomalayan,No
Eocanthecona,Eocanthecona populusi,PAKISTAN,70,30,Thomas 1994,Pakistan,Asia,Palearctic,Yes
Eocanthecona,Eocanthecona robusta,AUSTRALIA,135,-25,Thomas 1994,Australia,Australia,Australasia,Yes
Eocanthecona,Eocanthecona robusta,INDIA: Assam,93,26,Pal et al 2023,India,Asia,Indomalayan,No
Eocanthecona,Eocanthecona robusta,INDIA: Sadia,95.6184,28.0376,Roell et al 2023,India,Asia,Indomalayan,No
Eocanthecona,Eocanthecona robusta,INDONESIA: Java,110,-7.49,Thomas 1994,Indonesia,Asia,Indomalayan,No
Eocanthecona,Eocanthecona robusta,SRI LANKA,80.75,7.75,Thomas 1994,Sri Lanka,Asia,Indomalayan,Yes
Eocanthecona,Eocanthecona rufescens,INDONESIA: Java,110,-7.49,Thomas 1994,Indonesia,Asia,Indomalayan,No
Eocanthecona,Eocanthecona rufescens,SUMATRA,102,0,Thomas 1994,Indonesia,Asia,Indomalayan,No
Eocanthecona,Eocanthecona shikokuensis,JAPAN,139.75,35.68,Thomas 1994,Japan,Asia,Palearctic,Yes
Eocanthecona,Eocanthecona thomsoni,CHINA: Fujian,118,26.25,Rider & Zheng 2002,China,Asia,Indomalayan,No
Eocanthecona,Eocanthecona thomsoni,CHINA: Guizhou,107,27,Rider & Zheng 2002,China,Asia,Palearctic,No
Eocanthecona,Eocanthecona thomsoni,CHINA: Heilongjiang,128,47.75,Rider & Zheng 2002,China,Asia,Palearctic,No
Eocanthecona,Eocanthecona thomsoni,CHINA: Hubei,115.66,39,Rider & Zheng 2002,China,Asia,Palearctic,No
Eocanthecona,Eocanthecona thomsoni,CHINA: Hunan,111.75,27.66,Rider & Zheng 2002,China,Asia,Indomalayan,No
Eocanthecona,Eocanthecona thomsoni,CHINA: Jiangxi,115.66,27.66,Rider & Zheng 2002,China,Asia,Indomalayan,No
Eocanthecona,Eocanthecona thomsoni,CHINA: Sichuan,102.66,30.5,Rider & Zheng 2002,China,Asia,Palearctic,No
Eocanthecona,Eocanthecona thomsoni,CHINA: Zhejiang,120,29.16,Rider & Zheng 2002,China,Asia,Indomalayan,No
Eocanthecona,Eocanthecona tibialis,INDIA: Khasia Hills,91.63333,25.58333,Roell et al 2023,India,Asia,Indomalayan,No
Eocanthecona,Eocanthecona tibialis,INDIA: Nagaland,94.5,26.08333,Pal et al 2023,India,Asia,Indomalayan,No
Eocanthecona,Eocanthecona tibialis,"INDIA: Uttar Pradesh, Aligarh",78.16,27.83,Azim 2011,India,Asia,Indomalayan,No
Eocanthecona,Eocanthecona tibialis,"MALAYSIA: Pahang, Raub District, Fraser's Hill",101.7474,3.7121,FSCA,Malaysia,Asia,Indomalayan,No
Eocanthecona,Eocanthecona variabilis,"INDONESIA: Java, Ciyukaka",110.0044,-7.4916,RBINS,Indonesia,Asia,Indomalayan,No
Eocanthecona,Eocanthecona variabilis,TIMOR,124.79,-9.47,Brugnera et al 2024,Indonesia,Asia,Australasia,Yes
Eocanthecona,Eocanthecona vollenhoveni,INDONESIA: Java,110,-7.49,Thomas 1994,Indonesia,Asia,Indomalayan,No
Euthyrhynchus,Euthyrhynchus floridanus,"BOLIVIA: La Paz, Coroico",-67.72,-16.19,Dellape et al. 2003,Bolivia,South America,Neotropic,No
Euthyrhynchus,Euthyrhynchus floridanus,"BOLIVIA: Pando, Santa Fé",-68.76,-11.22,Dellape et al. 2003,Bolivia,South America,Neotropic,No
Euthyrhynchus,Euthyrhynchus floridanus,"BRAZIL: Rio de Janeiro, Itatiaia, Penedo",-44.53,-22.42,UFRG,Brazil,South America,Neotropic,No
Euthyrhynchus,Euthyrhynchus floridanus,"COLOMBIA: Boyacá, Villa de Leyva, La Capilla",-73.47,5.7,Castro-Huertas et al. 2015,Colombia,South America,Neotropic,No
Euthyrhynchus,Euthyrhynchus floridanus,"COLOMBIA: Cundinamarca, San Francisco, Toriba",-74.26,4.98,Castro-Huertas et al. 2015,Colombia,South America,Neotropic,No
Euthyrhynchus,Euthyrhynchus floridanus,"COLOMBIA: Santander, La Belleza",-74.03,5.89,Castro-Huertas et al. 2015,Colombia,South America,Neotropic,No
Euthyrhynchus,Euthyrhynchus floridanus,"COSTA RICA, Montes de Oca, Sn Pedzo",-84.0111,9.94,UFRG,Costa Rica,North America,Neotropic,No
Euthyrhynchus,Euthyrhynchus floridanus,HONDURAN: El Paraiso,-85.96,14.06,Arismendi & Thomas 2003,Honduras,North America,Neotropic,No
Euthyrhynchus,Euthyrhynchus floridanus,HONDURAN: Lempira,-88.58,14.58,Arismendi & Thomas 2003,Honduras,North America,Neotropic,No
Euthyrhynchus,Euthyrhynchus floridanus,HONDURAN: Yoro,-87.7,15.31,Arismendi & Thomas 2003,Honduras,North America,Neotropic,No
Euthyrhynchus,Euthyrhynchus floridanus,"MEXICO: Baja California, Espiritu Santo",-110.34,24.48,Ortega León 1997,México,North America,Neotropic,No
Euthyrhynchus,Euthyrhynchus floridanus,"MEXICO: Chiapas, El Chorreadero",-92.5,16.5,Ortega León 1997,México,North America,Neotropic,No
Euthyrhynchus,Euthyrhynchus floridanus,"MEXICO: Chiapas, El Vergel",-92.06,16.56,Ortega León 1997,México,North America,Neotropic,No
Euthyrhynchus,Euthyrhynchus floridanus,"MEXICO: Chiapas, Ixhuatan",-93,17.29,Ortega León 1997,México,North America,Neotropic,No
Euthyrhynchus,Euthyrhynchus floridanus,"MEXICO: Chiapas, Palenque",-91.89,17.5,Ortega León 1997,México,North America,Neotropic,No
Euthyrhynchus,Euthyrhynchus floridanus,"MEXICO: Guanajuato, El Capulin",-100.98,20.27,Ortega León 1997,México,North America,Neotropic,No
Euthyrhynchus,Euthyrhynchus floridanus,"MEXICO: Guerrero, Chilpancingo",-99.5,17.55,Ortega León 1997,México,North America,Neotropic,No
Euthyrhynchus,Euthyrhynchus floridanus,"MEXICO: Guerrero, Tetoloapan",-99.87,18.36,Ortega León 1997,México,North America,Neotropic,No
Euthyrhynchus,Euthyrhynchus floridanus,"MEXICO: Guerrero, Xucumanatlan",-100,17.66,Ortega León 1997,México,North America,Neotropic,No
Euthyrhynchus,Euthyrhynchus floridanus,"MEXICO: Hidalgo, Jacala",-99.19,21,Ortega León 1997,México,North America,Nearctic,No
Euthyrhynchus,Euthyrhynchus floridanus,"MEXICO: Hidalgo, Tasquillo",-99.34,20.54,Ortega León 1997,México,North America,Nearctic,No
Euthyrhynchus,Euthyrhynchus floridanus,"MEXICO: Jalisco, Chapala",-103.02,20.26,Ortega León 1997,México,North America,Neotropic,No
Euthyrhynchus,Euthyrhynchus floridanus,"MEXICO: Jalisco, Guadalajara",-103.39,20.66,Ortega León 1997,México,North America,Neotropic,No
Euthyrhynchus,Euthyrhynchus floridanus,"MEXICO: Jalisco, Tuxcuera",-103.22,20.15,Ortega León 1997,México,North America,Neotropic,No
Euthyrhynchus,Euthyrhynchus floridanus,"MEXICO: Michoacan, Ario de Rosales",-101.7,19.2,Ortega León 1997,México,North America,Neotropic,No
Euthyrhynchus,Euthyrhynchus floridanus,"MEXICO: Morelos, Amatlan",-99.03,18.97,Ortega León 1997,México,North America,Neotropic,No
Euthyrhynchus,Euthyrhynchus floridanus,"MEXICO: Morelos, Cuernavaca",-99.23,18.92,Ortega León 1997,México,North America,Neotropic,No
Euthyrhynchus,Euthyrhynchus floridanus,"MEXICO: Nayarit, Tepic",-104.89,21.5,Ortega León 1997,México,North America,Neotropic,No
Euthyrhynchus,Euthyrhynchus floridanus,"MEXICO: Nuevo Leon, Monterrey",-100.31,25.67,Ortega León 1997,México,North America,Nearctic,No
Euthyrhynchus,Euthyrhynchus floridanus,MEXICO: Oaxaca,-96.72,17.06,Ortega León 1997,México,North America,Neotropic,No
